[s],CH1[V]
-2.4999E-02,-2.487333083E-02
-2.4994E-02,-2.531040931E-02
-2.4989E-02,-2.631274009E-02
-2.4984E-02,-2.640609336E-02
-2.4979E-02,-2.573710990E-02
-2.4974E-02,-2.609814620E-02
-2.4969E-02,-2.296357703E-02
-2.4964E-02,-2.361257148E-02
-2.4959E-02,-2.503172088E-02
-2.4954E-02,-2.493934798E-02
-2.4949E-02,-2.549221969E-02
-2.4944E-02,-2.446461463E-02
-2.4939E-02,-2.690565276E-02
-2.4934E-02,-2.823631835E-02
-2.4929E-02,-2.709541106E-02
-2.4924E-02,-2.835354972E-02
-2.4919E-02,-2.791653228E-02
-2.4914E-02,-2.926304793E-02
-2.4909E-02,-3.061371779E-02
-2.4904E-02,-2.924308753E-02
-2.4899E-02,-2.869199920E-02
-2.4894E-02,-2.840532279E-02
-2.4889E-02,-2.825830626E-02
-2.4884E-02,-2.591101623E-02
-2.4879E-02,-2.640147948E-02
-2.4874E-02,-2.741740584E-02
-2.4869E-02,-2.755276465E-02
-2.4864E-02,-2.871983886E-02
-2.4859E-02,-2.738299727E-02
-2.4854E-02,-2.817382216E-02
-2.4849E-02,-2.930577254E-02
-2.4844E-02,-3.084329391E-02
-2.4839E-02,-2.969413352E-02
-2.4834E-02,-2.608918929E-02
-2.4829E-02,-2.553625083E-02
-2.4824E-02,-2.560859275E-02
-2.4819E-02,-2.669108748E-02
-2.4814E-02,-2.555550361E-02
-2.4809E-02,-2.558885741E-02
-2.4804E-02,-2.685225844E-02
-2.4799E-02,-2.826796317E-02
-2.4794E-02,-2.961790252E-02
-2.4789E-02,-2.684431815E-02
-2.4784E-02,-2.720709586E-02
-2.4779E-02,-2.832025695E-02
-2.4774E-02,-2.921395087E-02
-2.4769E-02,-2.844826674E-02
-2.4764E-02,-2.703521132E-02
-2.4759E-02,-2.834011054E-02
-2.4754E-02,-2.730701423E-02
-2.4749E-02,-2.708930564E-02
-2.4744E-02,-2.761575103E-02
-2.4739E-02,-2.661917281E-02
-2.4734E-02,-2.733181167E-02
-2.4729E-02,-2.699041343E-02
-2.4724E-02,-2.709770751E-02
-2.4719E-02,-2.817061019E-02
-2.4714E-02,-2.708982253E-02
-2.4709E-02,-2.627486587E-02
-2.4704E-02,-2.384910560E-02
-2.4699E-02,-2.644334769E-02
-2.4694E-02,-2.623421073E-02
-2.4689E-02,-2.565919280E-02
-2.4684E-02,-2.436615729E-02
-2.4679E-02,-2.520823264E-02
-2.4674E-02,-2.712090087E-02
-2.4669E-02,-2.584310699E-02
-2.4664E-02,-2.651286101E-02
-2.4659E-02,-2.550079703E-02
-2.4654E-02,-2.593444610E-02
-2.4649E-02,-2.663222098E-02
-2.4644E-02,-2.408397841E-02
-2.4639E-02,-2.426926780E-02
-2.4634E-02,-2.519193816E-02
-2.4629E-02,-2.629249549E-02
-2.4624E-02,-2.610495734E-02
-2.4619E-02,-2.618815398E-02
-2.4614E-02,-2.661367965E-02
-2.4609E-02,-2.575827193E-02
-2.4604E-02,-2.604091620E-02
-2.4599E-02,-2.623669219E-02
-2.4594E-02,-2.726877189E-02
-2.4589E-02,-2.874191833E-02
-2.4584E-02,-2.667840362E-02
-2.4579E-02,-2.727743125E-02
-2.4574E-02,-2.679856849E-02
-2.4569E-02,-2.759943938E-02
-2.4564E-02,-2.545347953E-02
-2.4559E-02,-2.590174651E-02
-2.4554E-02,-2.814420104E-02
-2.4549E-02,-2.764684844E-02
-2.4544E-02,-2.922323966E-02
-2.4539E-02,-2.598966384E-02
-2.4534E-02,-2.652625060E-02
-2.4529E-02,-2.646121192E-02
-2.4524E-02,-2.706139922E-02
-2.4519E-02,-2.839005828E-02
-2.4514E-02,-2.574742103E-02
-2.4509E-02,-2.466019607E-02
-2.4504E-02,-2.444529128E-02
-2.4498E-02,-2.730529952E-02
-2.4493E-02,-2.628500533E-02
-2.4488E-02,-2.450152755E-02
-2.4483E-02,-2.441237998E-02
-2.4478E-02,-2.510985541E-02
-2.4473E-02,-2.798802352E-02
-2.4468E-02,-2.619431281E-02
-2.4463E-02,-2.593667388E-02
-2.4458E-02,-2.561481261E-02
-2.4453E-02,-2.488942695E-02
-2.4448E-02,-2.466999221E-02
-2.4443E-02,-2.255310035E-02
-2.4438E-02,-2.350842452E-02
-2.4433E-02,-2.359846091E-02
-2.4428E-02,-2.420124602E-02
-2.4423E-02,-2.439571357E-02
-2.4418E-02,-2.410523009E-02
-2.4413E-02,-2.573342872E-02
-2.4408E-02,-2.554362082E-02
-2.4403E-02,-2.655974364E-02
-2.4398E-02,-2.668745399E-02
-2.4393E-02,-2.506855559E-02
-2.4388E-02,-2.594553161E-02
-2.4383E-02,-2.809381080E-02
-2.4378E-02,-2.903242087E-02
-2.4373E-02,-2.822294021E-02
-2.4368E-02,-2.640192199E-02
-2.4363E-02,-2.678435302E-02
-2.4358E-02,-2.671322417E-02
-2.4353E-02,-2.829200149E-02
-2.4348E-02,-2.743913054E-02
-2.4343E-02,-2.855220962E-02
-2.4338E-02,-2.836989951E-02
-2.4333E-02,-2.875906730E-02
-2.4328E-02,-2.976140952E-02
-2.4323E-02,-2.900330901E-02
-2.4318E-02,-2.900369811E-02
-2.4313E-02,-2.785693908E-02
-2.4308E-02,-2.801447654E-02
-2.4303E-02,-2.810695624E-02
-2.4298E-02,-2.706077552E-02
-2.4293E-02,-2.861313033E-02
-2.4288E-02,-2.675777793E-02
-2.4283E-02,-2.616020370E-02
-2.4278E-02,-2.612649322E-02
-2.4273E-02,-2.784756827E-02
-2.4268E-02,-2.695268226E-02
-2.4263E-02,-2.692131591E-02
-2.4258E-02,-2.749115539E-02
-2.4253E-02,-2.555460334E-02
-2.4248E-02,-2.659115005E-02
-2.4243E-02,-2.794554496E-02
-2.4238E-02,-2.822366309E-02
-2.4233E-02,-2.853086257E-02
-2.4228E-02,-2.752767158E-02
-2.4223E-02,-2.810453200E-02
-2.4218E-02,-2.726700759E-02
-2.4213E-02,-2.599554229E-02
-2.4208E-02,-2.609452224E-02
-2.4203E-02,-2.683435035E-02
-2.4198E-02,-2.791809249E-02
-2.4193E-02,-2.526535392E-02
-2.4188E-02,-2.522665572E-02
-2.4183E-02,-2.535067344E-02
-2.4178E-02,-2.656812453E-02
-2.4173E-02,-2.551638961E-02
-2.4168E-02,-2.462437224E-02
-2.4163E-02,-2.534373641E-02
-2.4158E-02,-2.591445708E-02
-2.4153E-02,-2.625989127E-02
-2.4148E-02,-2.533269858E-02
-2.4143E-02,-2.614538169E-02
-2.4138E-02,-2.747361350E-02
-2.4133E-02,-2.471818328E-02
-2.4128E-02,-2.369574714E-02
-2.4123E-02,-2.431088805E-02
-2.4118E-02,-2.687300086E-02
-2.4113E-02,-2.781469321E-02
-2.4108E-02,-2.747323966E-02
-2.4103E-02,-2.733419967E-02
-2.4098E-02,-2.690542197E-02
-2.4093E-02,-2.808136535E-02
-2.4088E-02,-2.465198302E-02
-2.4083E-02,-2.438367820E-02
-2.4078E-02,-2.718472266E-02
-2.4073E-02,-2.861644530E-02
-2.4068E-02,-3.064959693E-02
