[s],CH1[V]
-2.4999E-02,-2.665473151E-02
-2.4994E-02,-3.007367301E-02
-2.4989E-02,-3.004754996E-02
-2.4984E-02,-2.764204192E-02
-2.4979E-02,-2.748096633E-02
-2.4974E-02,-2.855366683E-02
-2.4969E-02,-2.765298247E-02
-2.4964E-02,-2.962003875E-02
-2.4959E-02,-3.022434783E-02
-2.4954E-02,-2.853661513E-02
-2.4949E-02,-2.873205733E-02
-2.4944E-02,-3.184046340E-02
-2.4939E-02,-3.208713317E-02
-2.4934E-02,-2.916377616E-02
-2.4929E-02,-2.812983298E-02
-2.4924E-02,-2.911352324E-02
-2.4919E-02,-2.805707717E-02
-2.4914E-02,-2.908325362E-02
-2.4909E-02,-3.083236098E-02
-2.4904E-02,-3.166875434E-02
-2.4899E-02,-2.988450980E-02
-2.4894E-02,-2.975692725E-02
-2.4889E-02,-3.099360442E-02
-2.4884E-02,-2.943415427E-02
-2.4879E-02,-2.755993819E-02
-2.4874E-02,-2.800410247E-02
-2.4869E-02,-3.132480216E-02
-2.4864E-02,-3.265677619E-02
-2.4859E-02,-3.069244933E-02
-2.4854E-02,-3.117479682E-02
-2.4849E-02,-2.764017653E-02
-2.4844E-02,-2.802825522E-02
-2.4839E-02,-3.042577529E-02
-2.4834E-02,-3.204356551E-02
-2.4829E-02,-3.121270919E-02
-2.4824E-02,-2.892741179E-02
-2.4819E-02,-2.894070601E-02
-2.4814E-02,-2.895180488E-02
-2.4809E-02,-2.829081511E-02
-2.4804E-02,-2.834115386E-02
-2.4799E-02,-2.919485450E-02
-2.4794E-02,-3.017655730E-02
-2.4789E-02,-2.937401175E-02
-2.4784E-02,-2.953437781E-02
-2.4779E-02,-2.790356231E-02
-2.4774E-02,-2.720163321E-02
-2.4769E-02,-2.987443137E-02
-2.4764E-02,-3.136914420E-02
-2.4759E-02,-3.017746711E-02
-2.4754E-02,-2.873823905E-02
-2.4749E-02,-2.834608245E-02
-2.4744E-02,-2.783658385E-02
-2.4739E-02,-2.712051749E-02
-2.4734E-02,-2.884163642E-02
-2.4729E-02,-3.165942931E-02
-2.4724E-02,-3.554512191E-02
-2.4719E-02,-3.506216025E-02
-2.4714E-02,-3.394468093E-02
-2.4709E-02,-3.274186683E-02
-2.4704E-02,-2.898530364E-02
-2.4699E-02,-2.677895331E-02
-2.4694E-02,-2.722328734E-02
-2.4689E-02,-2.805027175E-02
-2.4684E-02,-2.932577682E-02
-2.4679E-02,-3.265833259E-02
-2.4674E-02,-3.489516234E-02
-2.4669E-02,-3.277530646E-02
-2.4664E-02,-3.005856109E-02
-2.4659E-02,-2.894553161E-02
-2.4654E-02,-2.769035506E-02
-2.4649E-02,-2.564895606E-02
-2.4644E-02,-2.442893386E-02
-2.4639E-02,-2.480368781E-02
-2.4634E-02,-2.133623290E-02
-2.4629E-02,-1.837915778E-02
-2.4624E-02,-1.629609466E-02
-2.4619E-02,-1.640818000E-02
-2.4614E-02,-1.786093879E-02
-2.4609E-02,-2.339155555E-02
-2.4604E-02,-3.294922042E-02
-2.4599E-02,-3.515999961E-02
-2.4594E-02,-3.409848952E-02
-2.4589E-02,-3.292818618E-02
-2.4584E-02,-3.039330268E-02
-2.4579E-02,-2.768122268E-02
-2.4574E-02,-2.499630141E-02
-2.4569E-02,-2.693531203E-02
-2.4564E-02,-2.549165702E-02
-2.4559E-02,-3.000507903E-02
-2.4554E-02,-3.498701644E-02
-2.4549E-02,-3.711887717E-02
-2.4544E-02,-3.476115966E-02
-2.4539E-02,-3.126458526E-02
-2.4534E-02,-3.079715323E-02
-2.4529E-02,-2.637446570E-02
-2.4524E-02,-2.525193191E-02
-2.4519E-02,-2.533959174E-02
-2.4514E-02,-2.908650756E-02
-2.4509E-02,-3.147372413E-02
-2.4504E-02,-3.170054030E-02
-2.4498E-02,-3.214245200E-02
-2.4493E-02,-2.867873549E-02
-2.4488E-02,-2.688410163E-02
-2.4483E-02,-2.719118285E-02
-2.4478E-02,-2.820344138E-02
-2.4473E-02,-2.895184302E-02
-2.4468E-02,-2.830351043E-02
-2.4463E-02,-3.083176589E-02
-2.4458E-02,-3.139498305E-02
-2.4453E-02,-2.983629966E-02
-2.4448E-02,-3.150045943E-02
-2.4443E-02,-3.183415389E-02
-2.4438E-02,-3.035236335E-02
-2.4433E-02,-3.103811622E-02
-2.4428E-02,-3.111783576E-02
-2.4423E-02,-2.996713614E-02
-2.4418E-02,-2.845344710E-02
-2.4413E-02,-2.982529044E-02
-2.4408E-02,-3.103698325E-02
-2.4403E-02,-3.033444190E-02
-2.4398E-02,-2.609420943E-02
-2.4393E-02,-2.550403380E-02
-2.4388E-02,-2.832276130E-02
-2.4383E-02,-2.762682700E-02
-2.4378E-02,-2.861889243E-02
-2.4373E-02,-3.007229590E-02
-2.4368E-02,-3.102221656E-02
-2.4363E-02,-3.074564528E-02
-2.4358E-02,-3.147851348E-02
-2.4353E-02,-3.140859771E-02
-2.4348E-02,-2.691046309E-02
-2.4343E-02,-2.495074821E-02
-2.4338E-02,-2.650866485E-02
-2.4333E-02,-2.766523910E-02
-2.4328E-02,-2.830158019E-02
-2.4323E-02,-2.795696807E-02
-2.4318E-02,-2.808810592E-02
-2.4313E-02,-2.702731872E-02
-2.4308E-02,-2.877218223E-02
-2.4303E-02,-2.963909507E-02
-2.4298E-02,-2.871302390E-02
-2.4293E-02,-2.588124251E-02
-2.4288E-02,-2.503224349E-02
-2.4283E-02,-2.870654082E-02
-2.4278E-02,-2.888459563E-02
-2.4273E-02,-2.752807975E-02
-2.4268E-02,-2.682953238E-02
-2.4263E-02,-2.738099265E-02
-2.4258E-02,-2.664750266E-02
-2.4253E-02,-2.449347281E-02
-2.4248E-02,-2.661512160E-02
-2.4243E-02,-2.783054137E-02
-2.4238E-02,-2.673719001E-02
-2.4233E-02,-2.619748473E-02
-2.4228E-02,-2.728007674E-02
-2.4223E-02,-2.825830817E-02
-2.4218E-02,-2.698784041E-02
-2.4213E-02,-2.534627318E-02
-2.4208E-02,-2.576487136E-02
-2.4203E-02,-2.683235717E-02
-2.4198E-02,-2.686309981E-02
-2.4193E-02,-2.624293876E-02
-2.4188E-02,-2.701503730E-02
-2.4183E-02,-2.676390052E-02
-2.4178E-02,-2.737251830E-02
-2.4173E-02,-2.817728972E-02
-2.4168E-02,-2.608002448E-02
-2.4163E-02,-2.567121291E-02
-2.4158E-02,-2.822339034E-02
-2.4153E-02,-2.836402678E-02
-2.4148E-02,-2.686132789E-02
-2.4143E-02,-2.643757224E-02
-2.4138E-02,-2.675222373E-02
-2.4133E-02,-2.703103614E-02
-2.4128E-02,-2.734907699E-02
-2.4123E-02,-1.820887160E-02
-2.4118E-02,-1.417175841E-02
-2.4113E-02,-1.588669562E-02
-2.4108E-02,-1.587335181E-02
-2.4103E-02,-2.342186332E-02
-2.4098E-02,-2.091055274E-02
-2.4093E-02,-2.093138099E-02
