[s],CH1[V]
-2.4999E-02,-2.491459835E-02
-2.4994E-02,-2.617206657E-02
-2.4989E-02,-2.573545253E-02
-2.4984E-02,-2.525836456E-02
-2.4979E-02,-2.509642208E-02
-2.4974E-02,-2.627106464E-02
-2.4969E-02,-2.773569953E-02
-2.4964E-02,-2.859666145E-02
-2.4959E-02,-2.584203327E-02
-2.4954E-02,-2.545053470E-02
-2.4949E-02,-2.689935672E-02
-2.4944E-02,-3.273070514E-02
-2.4939E-02,-3.649693477E-02
-2.4934E-02,-4.128943431E-02
-2.4929E-02,-4.554243171E-02
-2.4924E-02,-4.483133113E-02
-2.4919E-02,-3.930291259E-02
-2.4914E-02,-3.119687355E-02
-2.4909E-02,-2.620193183E-02
-2.4904E-02,-2.522444522E-02
-2.4899E-02,-2.478137672E-02
-2.4894E-02,-2.693975532E-02
-2.4889E-02,-3.158680427E-02
-2.4884E-02,-3.237127292E-02
-2.4879E-02,-3.269103038E-02
-2.4874E-02,-3.168036926E-02
-2.4869E-02,-2.955718219E-02
-2.4864E-02,-2.652364910E-02
-2.4859E-02,-2.449792182E-02
-2.4854E-02,-2.485400951E-02
-2.4849E-02,-2.878961933E-02
-2.4844E-02,-3.218833530E-02
-2.4839E-02,-3.266078269E-02
-2.4834E-02,-3.402743709E-02
-2.4829E-02,-3.334530532E-02
-2.4824E-02,-3.058763587E-02
-2.4819E-02,-2.844149864E-02
-2.4814E-02,-2.495050704E-02
-2.4809E-02,-2.412587059E-02
-2.4804E-02,-2.566424644E-02
-2.4799E-02,-2.812743843E-02
-2.4794E-02,-2.999765480E-02
-2.4789E-02,-3.008418453E-02
-2.4784E-02,-3.152003181E-02
-2.4779E-02,-2.851615894E-02
-2.4774E-02,-2.592640865E-02
-2.4769E-02,-2.510900581E-02
-2.4764E-02,-2.561696994E-02
-2.4759E-02,-2.623822200E-02
-2.4754E-02,-2.549475372E-02
-2.4749E-02,-2.699707210E-02
-2.4744E-02,-2.900592124E-02
-2.4739E-02,-3.099941146E-02
-2.4734E-02,-3.149665439E-02
-2.4729E-02,-2.970485961E-02
-2.4724E-02,-2.924396503E-02
-2.4719E-02,-2.890691841E-02
-2.4714E-02,-2.857617843E-02
-2.4709E-02,-2.822231567E-02
-2.4704E-02,-2.931789100E-02
-2.4699E-02,-2.999360645E-02
-2.4694E-02,-3.008203304E-02
-2.4689E-02,-3.110457885E-02
-2.4684E-02,-2.973842418E-02
-2.4679E-02,-3.031855857E-02
-2.4674E-02,-2.932130992E-02
-2.4669E-02,-2.680092704E-02
-2.4664E-02,-2.778530777E-02
-2.4659E-02,-2.844898021E-02
-2.4654E-02,-2.973564136E-02
-2.4649E-02,-2.853424251E-02
-2.4644E-02,-2.680709064E-02
-2.4639E-02,-2.960781848E-02
-2.4634E-02,-3.057016361E-02
