[s],CH1[V]
-2.4999E-02,-2.795873237E-02
-2.4994E-02,-2.906704497E-02
-2.4989E-02,-2.923480582E-02
-2.4984E-02,-2.790665030E-02
-2.4979E-02,-2.980291724E-02
-2.4974E-02,-2.971605086E-02
-2.4969E-02,-3.181761718E-02
-2.4964E-02,-3.162144256E-02
-2.4959E-02,-2.872959685E-02
-2.4954E-02,-2.700957084E-02
-2.4949E-02,-2.779818702E-02
-2.4944E-02,-2.847052932E-02
-2.4939E-02,-2.626739478E-02
-2.4934E-02,-2.641502547E-02
-2.4929E-02,-2.771100593E-02
-2.4924E-02,-2.829313445E-02
-2.4919E-02,-2.717579246E-02
-2.4914E-02,-2.675359893E-02
-2.4909E-02,-2.702449203E-02
-2.4904E-02,-2.693230605E-02
-2.4899E-02,-2.906886649E-02
-2.4894E-02,-2.767698836E-02
-2.4889E-02,-2.584189773E-02
-2.4884E-02,-2.695270896E-02
-2.4879E-02,-2.794754958E-02
-2.4874E-02,-2.834535003E-02
-2.4869E-02,-2.564624190E-02
-2.4864E-02,-2.639920783E-02
-2.4859E-02,-2.848864913E-02
-2.4854E-02,-3.085049987E-02
-2.4849E-02,-3.111265540E-02
-2.4844E-02,-2.975442481E-02
-2.4839E-02,-2.881071067E-02
-2.4834E-02,-3.124203658E-02
-2.4829E-02,-3.177296805E-02
-2.4824E-02,-2.959948897E-02
-2.4819E-02,-2.830254912E-02
-2.4814E-02,-3.040875030E-02
-2.4809E-02,-3.041719794E-02
-2.4804E-02,-3.041131568E-02
-2.4799E-02,-2.937867522E-02
-2.4794E-02,-2.838810134E-02
-2.4789E-02,-2.913913321E-02
-2.4784E-02,-2.660043311E-02
-2.4779E-02,-2.202082992E-02
-2.4774E-02,-1.229394507E-02
-2.4769E-02,-7.450805426E-03
-2.4764E-02,-9.380487204E-03
-2.4759E-02,-1.681750464E-02
-2.4754E-02,-2.502366805E-02
-2.4749E-02,-2.911788726E-02
-2.4744E-02,-3.277245307E-02
-2.4739E-02,-3.288388801E-02
-2.4734E-02,-3.039966178E-02
-2.4729E-02,-2.494517112E-02
-2.4724E-02,-1.993917060E-02
-2.4719E-02,-1.958028579E-02
-2.4714E-02,-2.234557128E-02
-2.4709E-02,-2.608571029E-02
-2.4704E-02,-2.789439368E-02
-2.4699E-02,-2.983010077E-02
-2.4694E-02,-3.084382033E-02
-2.4689E-02,-3.144164062E-02
-2.4684E-02,-3.055842757E-02
-2.4679E-02,-2.656439757E-02
-2.4674E-02,-2.630120635E-02
-2.4669E-02,-2.667148376E-02
-2.4664E-02,-2.872584128E-02
-2.4659E-02,-3.058996940E-02
-2.4654E-02,-3.034870315E-02
-2.4649E-02,-3.168794608E-02
-2.4644E-02,-3.169490600E-02
-2.4639E-02,-2.970627761E-02
-2.4634E-02,-2.458033347E-02
-2.4629E-02,-2.307108474E-02
-2.4624E-02,-2.619062400E-02
-2.4619E-02,-2.821046996E-02
-2.4614E-02,-3.016405845E-02
-2.4609E-02,-3.229935241E-02
-2.4604E-02,-3.379625487E-02
-2.4599E-02,-3.247517753E-02
-2.4594E-02,-2.922589469E-02
-2.4589E-02,-2.754283690E-02
-2.4584E-02,-2.729063964E-02
-2.4579E-02,-2.878769469E-02
-2.4574E-02,-2.944903159E-02
-2.4569E-02,-2.904531264E-02
-2.4564E-02,-2.962675071E-02
-2.4559E-02,-2.872802711E-02
-2.4554E-02,-2.942770934E-02
-2.4549E-02,-2.780785918E-02
-2.4544E-02,-2.727826476E-02
-2.4539E-02,-2.709022498E-02
-2.4534E-02,-2.841246581E-02
-2.4529E-02,-3.049118400E-02
-2.4524E-02,-2.944965720E-02
-2.4519E-02,-2.900176215E-02
-2.4514E-02,-3.059409118E-02
-2.4509E-02,-3.241362357E-02
-2.4504E-02,-3.100068069E-02
-2.4498E-02,-2.840709662E-02
-2.4493E-02,-2.733381629E-02
-2.4488E-02,-2.677954841E-02
-2.4483E-02,-2.884328055E-02
-2.4478E-02,-2.915489173E-02
-2.4473E-02,-2.830595183E-02
-2.4468E-02,-2.905299926E-02
-2.4463E-02,-2.831119704E-02
-2.4458E-02,-2.780630088E-02
-2.4453E-02,-2.717653441E-02
-2.4448E-02,-2.740300345E-02
-2.4443E-02,-2.750846076E-02
-2.4438E-02,-2.680460334E-02
-2.4433E-02,-2.873026252E-02
-2.4428E-02,-2.945803428E-02
-2.4423E-02,-2.908975387E-02
-2.4418E-02,-2.837314773E-02
-2.4413E-02,-2.764443755E-02
-2.4408E-02,-2.446849799E-02
-2.4403E-02,-2.496942306E-02
-2.4398E-02,-2.627568412E-02
-2.4393E-02,-2.539280486E-02
-2.4388E-02,-2.731373763E-02
-2.4383E-02,-3.047595572E-02
-2.4378E-02,-3.020995688E-02
-2.4373E-02,-2.752017379E-02
-2.4368E-02,-2.766456580E-02
-2.4363E-02,-2.910055327E-02
-2.4358E-02,-2.895292068E-02
-2.4353E-02,-2.841392875E-02
-2.4348E-02,-2.668353438E-02
-2.4343E-02,-2.590456367E-02
-2.4338E-02,-2.754262900E-02
-2.4333E-02,-2.895489097E-02
-2.4328E-02,-3.012226081E-02
-2.4323E-02,-2.985036254E-02
-2.4318E-02,-2.942863250E-02
-2.4313E-02,-2.802897429E-02
-2.4308E-02,-2.715125251E-02
