[s],CH1[V]
-2.4999E-02,-2.741122985E-02
-2.4994E-02,-2.759009910E-02
-2.4989E-02,-2.692280746E-02
-2.4984E-02,-2.654991698E-02
-2.4979E-02,-2.779139876E-02
-2.4974E-02,-2.668072486E-02
-2.4969E-02,-2.519777656E-02
-2.4964E-02,-2.645915008E-02
-2.4959E-02,-2.853296447E-02
-2.4954E-02,-3.048991179E-02
-2.4949E-02,-3.164585662E-02
-2.4944E-02,-3.208623290E-02
-2.4939E-02,-3.260366988E-02
-2.4934E-02,-3.017044806E-02
-2.4929E-02,-2.806925750E-02
-2.4924E-02,-2.817179084E-02
-2.4919E-02,-2.813355803E-02
-2.4914E-02,-2.718046355E-02
-2.4909E-02,-2.530428100E-02
-2.4904E-02,-2.321928954E-02
-2.4899E-02,-2.031830573E-02
-2.4894E-02,-1.576382232E-02
-2.4889E-02,-1.492893004E-02
-2.4884E-02,-1.578269362E-02
-2.4879E-02,-1.939014030E-02
-2.4874E-02,-2.660310149E-02
-2.4869E-02,-3.119472861E-02
-2.4864E-02,-2.965773177E-02
-2.4859E-02,-2.723131537E-02
-2.4854E-02,-2.704246116E-02
-2.4849E-02,-2.666402602E-02
-2.4844E-02,-2.541059279E-02
-2.4839E-02,-2.702025008E-02
-2.4834E-02,-2.924632239E-02
-2.4829E-02,-3.201663566E-02
-2.4824E-02,-3.346742606E-02
-2.4819E-02,-3.291328216E-02
-2.4814E-02,-3.198818946E-02
-2.4809E-02,-3.134360671E-02
-2.4804E-02,-2.918247008E-02
-2.4799E-02,-2.968328643E-02
-2.4794E-02,-2.924341178E-02
-2.4789E-02,-2.845530486E-02
-2.4784E-02,-2.805430770E-02
-2.4779E-02,-2.962415862E-02
-2.4774E-02,-3.069004035E-02
-2.4769E-02,-2.973186660E-02
-2.4764E-02,-2.786037612E-02
-2.4759E-02,-2.630633521E-02
-2.4754E-02,-2.591801238E-02
-2.4749E-02,-2.753612685E-02
-2.4744E-02,-3.007886481E-02
-2.4739E-02,-3.107310462E-02
-2.4734E-02,-3.073350310E-02
-2.4729E-02,-3.196756721E-02
-2.4724E-02,-3.171172118E-02
-2.4719E-02,-2.931817985E-02
-2.4714E-02,-2.667011809E-02
-2.4709E-02,-2.664294028E-02
-2.4704E-02,-2.683355498E-02
-2.4699E-02,-2.807729316E-02
-2.4694E-02,-2.956655669E-02
-2.4689E-02,-3.028179526E-02
-2.4684E-02,-3.076293349E-02
-2.4679E-02,-2.954417586E-02
-2.4674E-02,-2.994803405E-02
-2.4669E-02,-2.847811675E-02
-2.4664E-02,-2.709342742E-02
-2.4659E-02,-2.732333922E-02
-2.4654E-02,-2.728892493E-02
-2.4649E-02,-2.662055373E-02
-2.4644E-02,-2.566420913E-02
-2.4639E-02,-2.539753509E-02
-2.4634E-02,-2.454453063E-02
-2.4629E-02,-2.505211616E-02
-2.4624E-02,-2.611626220E-02
-2.4619E-02,-2.825394034E-02
-2.4614E-02,-2.798693633E-02
-2.4609E-02,-2.775386977E-02
-2.4604E-02,-2.838129783E-02
-2.4599E-02,-2.827161384E-02
-2.4594E-02,-2.790208411E-02
-2.4589E-02,-2.757483459E-02
-2.4584E-02,-2.670368171E-02
-2.4579E-02,-2.683973479E-02
-2.4574E-02,-2.745648932E-02
-2.4569E-02,-2.647725081E-02
-2.4564E-02,-2.602257895E-02
-2.4559E-02,-2.586385703E-02
-2.4554E-02,-2.686864257E-02
-2.4549E-02,-2.707815719E-02
-2.4544E-02,-2.685391212E-02
-2.4539E-02,-2.628976417E-02
-2.4534E-02,-2.590397811E-02
-2.4529E-02,-2.711218810E-02
-2.4524E-02,-2.795462966E-02
-2.4519E-02,-2.768987441E-02
-2.4514E-02,-2.853701949E-02
-2.4509E-02,-2.939586806E-02
-2.4504E-02,-2.955759406E-02
-2.4498E-02,-2.821386123E-02
-2.4493E-02,-2.663607001E-02
-2.4488E-02,-2.648528838E-02
-2.4483E-02,-2.609812331E-02
-2.4478E-02,-2.624583983E-02
-2.4473E-02,-2.615655303E-02
-2.4468E-02,-2.716131949E-02
-2.4463E-02,-2.758639503E-02
-2.4458E-02,-2.795340896E-02
-2.4453E-02,-2.878456283E-02
-2.4448E-02,-2.922233748E-02
-2.4443E-02,-2.963002944E-02
