[s],CH1[V]
-2.4999E-02,-3.106172156E-02
-2.4994E-02,-3.528664184E-02
-2.4989E-02,-3.955545783E-02
-2.4984E-02,-4.011433578E-02
-2.4979E-02,-4.010490584E-02
-2.4974E-02,-3.596351409E-02
-2.4969E-02,-3.148443770E-02
-2.4964E-02,-2.863792586E-02
-2.4959E-02,-3.081454825E-02
-2.4954E-02,-3.248643470E-02
-2.4949E-02,-3.391998839E-02
-2.4944E-02,-3.689018035E-02
-2.4939E-02,-3.761537337E-02
-2.4934E-02,-3.575781226E-02
-2.4929E-02,-3.325551009E-02
-2.4924E-02,-3.178419280E-02
-2.4919E-02,-3.155188537E-02
-2.4914E-02,-2.953864455E-02
-2.4909E-02,-2.942279410E-02
-2.4904E-02,-3.078700614E-02
-2.4899E-02,-3.382948089E-02
-2.4894E-02,-3.545466590E-02
-2.4889E-02,-3.773617148E-02
-2.4884E-02,-3.665131927E-02
-2.4879E-02,-3.462749076E-02
-2.4874E-02,-3.434309745E-02
-2.4869E-02,-3.410680556E-02
-2.4864E-02,-3.157488608E-02
-2.4859E-02,-3.263083053E-02
-2.4854E-02,-3.509721351E-02
-2.4849E-02,-3.647894645E-02
-2.4844E-02,-3.541456962E-02
-2.4839E-02,-3.747225356E-02
-2.4834E-02,-3.936131263E-02
-2.4829E-02,-3.709125304E-02
-2.4824E-02,-3.505362868E-02
-2.4819E-02,-3.567813659E-02
-2.4814E-02,-3.642645431E-02
-2.4809E-02,-3.619479537E-02
-2.4804E-02,-3.482375503E-02
-2.4799E-02,-3.507293296E-02
-2.4794E-02,-3.379522300E-02
-2.4789E-02,-3.481209540E-02
-2.4784E-02,-3.769880080E-02
-2.4779E-02,-3.740608573E-02
-2.4774E-02,-3.395232368E-02
-2.4769E-02,-3.323690200E-02
-2.4764E-02,-3.329470038E-02
-2.4759E-02,-3.206360984E-02
-2.4754E-02,-3.237291503E-02
-2.4749E-02,-3.337491775E-02
-2.4744E-02,-3.402565932E-02
-2.4739E-02,-3.335990119E-02
-2.4734E-02,-3.361769271E-02
-2.4729E-02,-3.424060798E-02
-2.4724E-02,-3.238095450E-02
-2.4719E-02,-3.075698256E-02
-2.4714E-02,-3.335957503E-02
-2.4709E-02,-3.685478187E-02
-2.4704E-02,-3.695702529E-02
-2.4699E-02,-3.435423446E-02
-2.4694E-02,-3.422876334E-02
-2.4689E-02,-3.461836600E-02
-2.4684E-02,-3.497518897E-02
-2.4679E-02,-3.671326804E-02
-2.4674E-02,-3.728159690E-02
-2.4669E-02,-3.619115615E-02
-2.4664E-02,-3.556883979E-02
-2.4659E-02,-3.700106978E-02
-2.4654E-02,-3.650438666E-02
-2.4649E-02,-3.531896567E-02
-2.4644E-02,-3.599157691E-02
-2.4639E-02,-3.899743247E-02
-2.4634E-02,-3.980002189E-02
-2.4629E-02,-3.921413398E-02
-2.4624E-02,-3.960129142E-02
-2.4619E-02,-3.843344855E-02
-2.4614E-02,-3.759623694E-02
-2.4609E-02,-3.698230720E-02
-2.4604E-02,-3.692570090E-02
-2.4599E-02,-3.629157615E-02
-2.4594E-02,-3.538329482E-02
-2.4589E-02,-3.581556296E-02
-2.4584E-02,-3.599351859E-02
-2.4579E-02,-3.583678603E-02
-2.4574E-02,-3.669940734E-02
-2.4569E-02,-3.747726035E-02
-2.4564E-02,-3.733384871E-02
-2.4559E-02,-3.450015426E-02
-2.4554E-02,-3.312606025E-02
-2.4549E-02,-3.443443465E-02
-2.4544E-02,-3.546730781E-02
-2.4539E-02,-3.683397651E-02
-2.4534E-02,-4.074773955E-02
-2.4529E-02,-4.060348296E-02
-2.4524E-02,-3.828977752E-02
-2.4519E-02,-3.708839583E-02
-2.4514E-02,-3.542608809E-02
-2.4509E-02,-3.443294883E-02
-2.4504E-02,-3.483577704E-02
-2.4498E-02,-3.458572555E-02
-2.4493E-02,-3.393137527E-02
-2.4488E-02,-3.337311339E-02
-2.4483E-02,-3.305993629E-02
-2.4478E-02,-3.263919616E-02
-2.4473E-02,-3.102326560E-02
-2.4468E-02,-3.124639106E-02
-2.4463E-02,-3.187978148E-02
-2.4458E-02,-3.263129973E-02
-2.4453E-02,-3.398918700E-02
-2.4448E-02,-3.593375373E-02
-2.4443E-02,-3.450147223E-02
-2.4438E-02,-3.276628470E-02
-2.4433E-02,-3.181222510E-02
-2.4428E-02,-3.315201735E-02
-2.4423E-02,-3.364511085E-02
-2.4418E-02,-3.376013350E-02
-2.4413E-02,-3.403051353E-02
-2.4408E-02,-3.306219459E-02
-2.4403E-02,-3.121269584E-02
-2.4398E-02,-3.022549033E-02
-2.4393E-02,-3.040104270E-02
-2.4388E-02,-3.012731528E-02
-2.4383E-02,-2.904749465E-02
-2.4378E-02,-2.930480552E-02
-2.4373E-02,-3.042035079E-02
-2.4368E-02,-3.182513213E-02
-2.4363E-02,-3.294490218E-02
-2.4358E-02,-4.392856002E-02
-2.4353E-02,-5.317521644E-02
-2.4348E-02,-4.636945319E-02
-2.4343E-02,-4.381785941E-02
-2.4338E-02,-3.708953643E-02
-2.4333E-02,-3.507366157E-02
-2.4328E-02,-3.805162215E-02
-2.4323E-02,-4.220854354E-02
-2.4318E-02,-4.567736220E-02
-2.4313E-02,-3.883228278E-02
-2.4308E-02,-3.881967711E-02
-2.4303E-02,-3.393213820E-02
-2.4298E-02,-2.945648551E-02
-2.4293E-02,-2.961813712E-02
-2.4288E-02,-2.874668860E-02
-2.4283E-02,-2.922454047E-02
-2.4278E-02,-2.951971602E-02
-2.4273E-02,-3.007258010E-02
-2.4268E-02,-2.954379439E-02
-2.4263E-02,-2.717787337E-02
-2.4258E-02,-2.613730025E-02
-2.4253E-02,-2.820357490E-02
-2.4248E-02,-3.037680411E-02
-2.4243E-02,-3.246429610E-02
-2.4238E-02,-3.074701476E-02
-2.4233E-02,-2.872665572E-02
-2.4228E-02,-2.807571769E-02
-2.4223E-02,-2.740701461E-02
-2.4218E-02,-2.957226729E-02
-2.4213E-02,-3.017018485E-02
-2.4208E-02,-3.062313628E-02
-2.4203E-02,-2.972113967E-02
-2.4198E-02,-2.834900451E-02
-2.4193E-02,-2.682444167E-02
-2.4188E-02,-2.709546447E-02
-2.4183E-02,-3.029673743E-02
-2.4178E-02,-3.348831153E-02
-2.4173E-02,-3.360827804E-02
-2.4168E-02,-3.196375823E-02
-2.4163E-02,-3.143567252E-02
-2.4158E-02,-3.039522719E-02
-2.4153E-02,-2.934925437E-02
-2.4148E-02,-3.022931266E-02
-2.4143E-02,-3.193144584E-02
-2.4138E-02,-3.307153296E-02
-2.4133E-02,-3.339231467E-02
-2.4128E-02,-3.260867476E-02
-2.4123E-02,-3.004626060E-02
-2.4118E-02,-2.812377334E-02
-2.4113E-02,-2.790866637E-02
-2.4108E-02,-3.000144553E-02
-2.4103E-02,-2.952530265E-02
-2.4098E-02,-2.677594543E-02
-2.4093E-02,-2.688858962E-02
-2.4088E-02,-2.713090301E-02
-2.4083E-02,-2.531370521E-02
-2.4078E-02,-2.728728843E-02
-2.4073E-02,-2.859166694E-02
-2.4068E-02,-2.859004188E-02
-2.4063E-02,-2.726223731E-02
-2.4058E-02,-2.611091971E-02
-2.4053E-02,-2.701443839E-02
-2.4048E-02,-2.662493682E-02
-2.4043E-02,-2.715168357E-02
-2.4038E-02,-3.047222495E-02
-2.4033E-02,-3.154506278E-02
-2.4028E-02,-3.025334144E-02
-2.4023E-02,-2.924443603E-02
-2.4018E-02,-2.761455512E-02
-2.4013E-02,-2.651854873E-02
-2.4008E-02,-2.763120055E-02
-2.4003E-02,-2.910573173E-02
-2.3998E-02,-2.974043059E-02
-2.3993E-02,-2.827209640E-02
-2.3988E-02,-2.760704970E-02
-2.3983E-02,-2.742472816E-02
-2.3978E-02,-2.633295226E-02
-2.3973E-02,-2.538301063E-02
-2.3968E-02,-2.522776771E-02
-2.3963E-02,-2.649088645E-02
-2.3958E-02,-2.378227592E-02
-2.3953E-02,-1.768635917E-02
-2.3948E-02,-1.062748694E-02
-2.3943E-02,-7.052949667E-03
-2.3938E-02,-8.956403494E-03
-2.3933E-02,-1.516112685E-02
-2.3928E-02,-2.391376472E-02
-2.3923E-02,-3.180948615E-02
-2.3918E-02,-3.499026847E-02
-2.3913E-02,-3.160186553E-02
-2.3908E-02,-2.110706306E-02
-2.3903E-02,-1.158633590E-02
-2.3898E-02,-9.071250677E-03
-2.3893E-02,-1.218264174E-02
-2.3888E-02,-1.803471732E-02
-2.3883E-02,-2.671397758E-02
-2.3878E-02,-3.530517745E-02
-2.3873E-02,-3.972385573E-02
-2.3868E-02,-3.701766372E-02
-2.3863E-02,-3.252824569E-02
-2.3858E-02,-2.694803977E-02
-2.3853E-02,-2.340713096E-02
-2.3848E-02,-2.276503921E-02
-2.3843E-02,-2.507900023E-02
-2.3838E-02,-2.866576171E-02
-2.3833E-02,-3.296983504E-02
-2.3828E-02,-3.542496467E-02
-2.3823E-02,-3.586522460E-02
-2.3818E-02,-3.303670859E-02
-2.3813E-02,-2.831474090E-02
-2.3808E-02,-2.688068366E-02
-2.3803E-02,-2.452667785E-02
-2.3798E-02,-2.363344741E-02
-2.3793E-02,-2.680529380E-02
-2.3788E-02,-3.124545074E-02
-2.3783E-02,-3.335553527E-02
-2.3778E-02,-3.287084174E-02
-2.3773E-02,-3.014356399E-02
-2.3768E-02,-2.691401839E-02
-2.3763E-02,-2.321822715E-02
-2.3758E-02,-2.232346892E-02
-2.3753E-02,-2.268290496E-02
-2.3748E-02,-2.660241103E-02
-2.3743E-02,-2.996390128E-02
-2.3738E-02,-3.254875922E-02
-2.3733E-02,-3.185621810E-02
