[s],CH1[V]
-2.4999E-02,-3.119992423E-02
-2.4994E-02,-2.955985236E-02
-2.4989E-02,-3.089880729E-02
-2.4984E-02,-3.124755073E-02
-2.4979E-02,-3.044734359E-02
-2.4974E-02,-2.719882751E-02
-2.4969E-02,-3.012601066E-02
-2.4964E-02,-3.184355521E-02
-2.4959E-02,-3.074804664E-02
-2.4954E-02,-2.979483390E-02
-2.4949E-02,-3.097638869E-02
-2.4944E-02,-3.191794562E-02
-2.4939E-02,-3.063055205E-02
-2.4934E-02,-2.988485503E-02
-2.4929E-02,-2.913594222E-02
-2.4924E-02,-2.755951476E-02
-2.4919E-02,-2.733997130E-02
-2.4914E-02,-2.880032516E-02
-2.4909E-02,-2.962716269E-02
-2.4904E-02,-2.693213630E-02
-2.4899E-02,-2.423523498E-02
-2.4894E-02,-2.138421988E-02
-2.4889E-02,-1.792845321E-02
-2.4884E-02,-1.873560882E-02
-2.4879E-02,-3.126497626E-02
-2.4874E-02,-5.012458777E-02
-2.4869E-02,-4.622030997E-02
-2.4864E-02,-4.396014953E-02
-2.4859E-02,-3.754157996E-02
-2.4854E-02,-3.238818526E-02
-2.4849E-02,-3.112203574E-02
-2.4844E-02,-2.759076858E-02
-2.4839E-02,-2.394811988E-02
-2.4834E-02,-2.238412642E-02
-2.4829E-02,-2.618956161E-02
-2.4824E-02,-3.283137679E-02
-2.4819E-02,-3.431948638E-02
-2.4814E-02,-3.115254378E-02
-2.4809E-02,-2.919820380E-02
-2.4804E-02,-2.797782493E-02
-2.4799E-02,-2.550541091E-02
-2.4794E-02,-2.322567153E-02
-2.4789E-02,-2.488195205E-02
-2.4784E-02,-2.674079108E-02
-2.4779E-02,-2.667541671E-02
-2.4774E-02,-2.781210685E-02
-2.4769E-02,-2.755779815E-02
-2.4764E-02,-2.683927321E-02
-2.4759E-02,-2.609362197E-02
-2.4754E-02,-2.778024077E-02
-2.4749E-02,-2.613289809E-02
-2.4744E-02,-2.376300406E-02
-2.4739E-02,-2.727736640E-02
-2.4734E-02,-2.923918509E-02
-2.4729E-02,-3.004526305E-02
-2.4724E-02,-2.699793220E-02
-2.4719E-02,-2.876548934E-02
-2.4714E-02,-2.912270713E-02
-2.4709E-02,-2.771560454E-02
-2.4704E-02,-2.749383521E-02
-2.4699E-02,-2.669709945E-02
-2.4694E-02,-2.803506446E-02
-2.4689E-02,-2.950773978E-02
-2.4684E-02,-2.938922477E-02
-2.4679E-02,-2.829051757E-02
-2.4674E-02,-2.676865363E-02
-2.4669E-02,-2.790879798E-02
-2.4664E-02,-2.865856719E-02
-2.4659E-02,-2.736512733E-02
-2.4654E-02,-2.641234946E-02
-2.4649E-02,-2.790076613E-02
-2.4644E-02,-2.954827476E-02
-2.4639E-02,-2.877478957E-02
-2.4634E-02,-2.633482528E-02
-2.4629E-02,-2.648243117E-02
-2.4624E-02,-2.654724860E-02
-2.4619E-02,-2.671909690E-02
-2.4614E-02,-2.753845382E-02
-2.4609E-02,-2.630363441E-02
-2.4604E-02,-2.409459853E-02
-2.4599E-02,-2.388834548E-02
-2.4594E-02,-2.611244941E-02
-2.4589E-02,-2.605002189E-02
-2.4584E-02,-2.576134467E-02
-2.4579E-02,-2.788045859E-02
-2.4574E-02,-2.872051787E-02
-2.4569E-02,-2.781179976E-02
-2.4564E-02,-2.612940764E-02
-2.4559E-02,-2.339285445E-02
-2.4554E-02,-2.376081634E-02
-2.4549E-02,-2.561108756E-02
-2.4544E-02,-2.711991096E-02
-2.4539E-02,-2.907944083E-02
-2.4534E-02,-2.590460753E-02
-2.4529E-02,-2.288701224E-02
-2.4524E-02,-2.540016341E-02
-2.4519E-02,-2.711813712E-02
-2.4514E-02,-2.834814620E-02
-2.4509E-02,-2.702713752E-02
-2.4504E-02,-2.588882232E-02
-2.4498E-02,-2.648906684E-02
-2.4493E-02,-2.667223525E-02
-2.4488E-02,-2.537041450E-02
-2.4483E-02,-2.258785415E-02
-2.4478E-02,-2.158050132E-02
-2.4473E-02,-2.256339240E-02
-2.4468E-02,-2.100171447E-02
-2.4463E-02,-1.761689162E-02
-2.4458E-02,-9.450479269E-03
-2.4453E-02,-7.243388891E-03
-2.4448E-02,-9.211347342E-03
-2.4443E-02,-1.266667151E-02
-2.4438E-02,-1.826623511E-02
-2.4433E-02,-2.722944617E-02
-2.4428E-02,-3.342744803E-02
-2.4423E-02,-3.411155486E-02
-2.4418E-02,-3.281687522E-02
-2.4413E-02,-2.749642158E-02
-2.4408E-02,-2.052771544E-02
-2.4403E-02,-1.626469016E-02
-2.4398E-02,-1.959760642E-02
-2.4393E-02,-2.616918159E-02
-2.4388E-02,-2.703403449E-02
-2.4383E-02,-2.834080863E-02
-2.4378E-02,-3.203304648E-02
-2.4373E-02,-3.279761481E-02
-2.4368E-02,-2.922814345E-02
-2.4363E-02,-2.414403510E-02
-2.4358E-02,-2.250237632E-02
-2.4353E-02,-2.005527472E-02
-2.4348E-02,-2.237047744E-02
-2.4343E-02,-2.697834373E-02
-2.4338E-02,-2.767227149E-02
-2.4333E-02,-2.711794257E-02
-2.4328E-02,-2.555907226E-02
-2.4323E-02,-2.774233031E-02
-2.4318E-02,-2.584484076E-02
-2.4313E-02,-2.075199294E-02
-2.4308E-02,-2.238942313E-02
-2.4303E-02,-2.506201911E-02
-2.4298E-02,-2.621168876E-02
-2.4293E-02,-2.677272201E-02
-2.4288E-02,-2.955142951E-02
-2.4283E-02,-2.982233405E-02
-2.4278E-02,-2.806510139E-02
-2.4273E-02,-2.641971183E-02
-2.4268E-02,-2.517874312E-02
-2.4263E-02,-2.380957007E-02
-2.4258E-02,-2.462580085E-02
-2.4253E-02,-2.608724761E-02
-2.4248E-02,-2.649797416E-02
