[s],CH1[V]
-2.4999E-02,-2.420088851E-02
-2.4994E-02,-2.561170089E-02
-2.4989E-02,-2.578698146E-02
-2.4984E-02,-2.524637783E-02
-2.4979E-02,-2.412588489E-02
-2.4974E-02,-2.553715694E-02
-2.4969E-02,-2.548739994E-02
-2.4964E-02,-2.556472480E-02
-2.4959E-02,-2.525930107E-02
-2.4954E-02,-2.558298767E-02
-2.4949E-02,-2.480926597E-02
-2.4944E-02,-2.363309181E-02
-2.4939E-02,-2.480177677E-02
-2.4934E-02,-2.470555675E-02
-2.4929E-02,-2.478453052E-02
-2.4924E-02,-2.440370452E-02
-2.4919E-02,-2.364155757E-02
-2.4914E-02,-2.335866249E-02
-2.4909E-02,-2.258745944E-02
-2.4904E-02,-2.480123127E-02
-2.4899E-02,-2.543992889E-02
-2.4894E-02,-2.510846508E-02
-2.4889E-02,-2.570924270E-02
-2.4884E-02,-2.686389816E-02
-2.4879E-02,-2.592660892E-02
-2.4874E-02,-2.291183078E-02
-2.4869E-02,-2.406448925E-02
-2.4864E-02,-2.570808780E-02
-2.4859E-02,-2.575433815E-02
-2.4854E-02,-2.525841129E-02
-2.4849E-02,-2.538109958E-02
-2.4844E-02,-2.520895851E-02
-2.4839E-02,-2.302087009E-02
-2.4834E-02,-2.502335536E-02
-2.4829E-02,-2.663280380E-02
-2.4824E-02,-2.629659355E-02
-2.4819E-02,-2.648522556E-02
-2.4814E-02,-2.725308788E-02
-2.4809E-02,-2.756996143E-02
-2.4804E-02,-2.627209651E-02
-2.4799E-02,-2.488007915E-02
-2.4794E-02,-2.580296695E-02
-2.4789E-02,-2.646110618E-02
-2.4784E-02,-2.636326683E-02
-2.4779E-02,-2.583286560E-02
-2.4774E-02,-2.392437065E-02
-2.4769E-02,-2.330650413E-02
-2.4764E-02,-2.399579036E-02
-2.4759E-02,-2.515049541E-02
-2.4754E-02,-2.518539321E-02
-2.4749E-02,-2.777603519E-02
-2.4744E-02,-2.951005924E-02
-2.4739E-02,-2.810091960E-02
-2.4734E-02,-2.574697578E-02
-2.4729E-02,-2.370891654E-02
-2.4724E-02,-2.483313549E-02
-2.4719E-02,-2.653118598E-02
-2.4714E-02,-2.600726879E-02
-2.4709E-02,-2.444767654E-02
-2.4704E-02,-2.093222702E-02
-2.4699E-02,-1.590402305E-02
-2.4694E-02,-7.878677249E-03
-2.4689E-02,-6.294779658E-03
-2.4684E-02,-8.611760020E-03
-2.4679E-02,-1.407969368E-02
-2.4674E-02,-2.012296474E-02
-2.4669E-02,-2.743032157E-02
-2.4664E-02,-3.112954032E-02
-2.4659E-02,-2.882816017E-02
-2.4654E-02,-2.571270645E-02
-2.4649E-02,-2.322739780E-02
-2.4644E-02,-1.997829998E-02
-2.4639E-02,-1.972500980E-02
-2.4634E-02,-2.193038261E-02
-2.4629E-02,-2.571243465E-02
-2.4624E-02,-2.807838905E-02
-2.4619E-02,-3.064864528E-02
-2.4614E-02,-3.201465213E-02
-2.4609E-02,-2.959626472E-02
-2.4604E-02,-2.755594718E-02
-2.4599E-02,-2.572799861E-02
-2.4594E-02,-2.521404064E-02
-2.4589E-02,-2.504192626E-02
-2.4584E-02,-2.638421524E-02
-2.4579E-02,-2.873992336E-02
-2.4574E-02,-2.916359985E-02
-2.4569E-02,-2.863750541E-02
-2.4564E-02,-2.896862495E-02
-2.4559E-02,-3.027790248E-02
-2.4554E-02,-3.164502990E-02
-2.4549E-02,-2.894214427E-02
-2.4544E-02,-3.216515911E-02
-2.4539E-02,-2.962596691E-02
-2.4534E-02,-2.661892402E-02
-2.4529E-02,-2.923667228E-02
-2.4524E-02,-3.139443576E-02
-2.4519E-02,-3.101154697E-02
-2.4514E-02,-2.700583637E-02
-2.4509E-02,-2.595694911E-02
-2.4504E-02,-2.591481578E-02
-2.4498E-02,-2.705660808E-02
-2.4493E-02,-2.776161849E-02
-2.4488E-02,-2.692158496E-02
-2.4483E-02,-2.673669517E-02
-2.4478E-02,-2.560071647E-02
-2.4473E-02,-2.819499099E-02
-2.4468E-02,-2.847523582E-02
-2.4463E-02,-2.719637764E-02
-2.4458E-02,-2.632770813E-02
-2.4453E-02,-2.558402908E-02
-2.4448E-02,-2.564098632E-02
-2.4443E-02,-2.578244102E-02
-2.4438E-02,-2.763522899E-02
-2.4433E-02,-2.730704772E-02
-2.4428E-02,-2.604373920E-02
-2.4423E-02,-2.750408638E-02
-2.4418E-02,-2.862984359E-02
-2.4413E-02,-2.575622833E-02
-2.4408E-02,-2.292924201E-02
-2.4403E-02,-2.469144046E-02
-2.4398E-02,-2.637792003E-02
-2.4393E-02,-2.615521419E-02
-2.4388E-02,-2.751933372E-02
-2.4383E-02,-2.801472557E-02
-2.4378E-02,-2.691959846E-02
-2.4373E-02,-2.625135887E-02
-2.4368E-02,-2.546094501E-02
-2.4363E-02,-2.626264560E-02
-2.4358E-02,-2.429806602E-02
-2.4353E-02,-2.522435367E-02
-2.4348E-02,-2.613850486E-02
-2.4343E-02,-2.746125495E-02
-2.4338E-02,-2.709646595E-02
-2.4333E-02,-2.368657863E-02
-2.4328E-02,-2.415763652E-02
-2.4323E-02,-2.368602645E-02
-2.4318E-02,-2.445129859E-02
-2.4313E-02,-2.715422428E-02
-2.4308E-02,-2.713817489E-02
-2.4303E-02,-2.637146747E-02
-2.4298E-02,-2.516199291E-02
-2.4293E-02,-2.685840309E-02
-2.4288E-02,-2.612006652E-02
-2.4283E-02,-2.684125030E-02
-2.4278E-02,-2.751361072E-02
-2.4273E-02,-2.754207790E-02
-2.4268E-02,-2.558432281E-02
-2.4263E-02,-2.399138248E-02
-2.4258E-02,-2.475237834E-02
-2.4253E-02,-2.482996452E-02
-2.4248E-02,-2.572339046E-02
-2.4243E-02,-2.728332222E-02
-2.4238E-02,-2.695682323E-02
-2.4233E-02,-2.662458026E-02
-2.4228E-02,-2.608848464E-02
-2.4223E-02,-2.577321517E-02
-2.4218E-02,-2.752658069E-02
-2.4213E-02,-2.623502338E-02
-2.4208E-02,-2.677131832E-02
-2.4203E-02,-2.689350975E-02
-2.4198E-02,-2.581180561E-02
-2.4193E-02,-2.368419731E-02
-2.4188E-02,-2.395124614E-02
-2.4183E-02,-2.499714839E-02
-2.4178E-02,-2.070561683E-02
-2.4173E-02,-1.218533027E-02
-2.4168E-02,-1.599623859E-02
-2.4163E-02,-1.715666187E-02
-2.4158E-02,-2.240547454E-02
-2.4153E-02,-2.451612842E-02
-2.4148E-02,-2.326929843E-02
-2.4143E-02,-2.087785137E-02
-2.4138E-02,-1.906437194E-02
-2.4133E-02,-1.963792598E-02
-2.4128E-02,-1.824302089E-02
-2.4123E-02,-1.727231395E-02
-2.4118E-02,-1.929324901E-02
-2.4113E-02,-2.562714756E-02
-2.4108E-02,-2.990464008E-02
-2.4103E-02,-3.139999092E-02
-2.4098E-02,-3.096524417E-02
-2.4093E-02,-2.994605529E-02
-2.4088E-02,-2.902366531E-02
-2.4083E-02,-2.705606830E-02
-2.4078E-02,-2.783638084E-02
-2.4073E-02,-2.904670227E-02
-2.4068E-02,-3.013246810E-02
-2.4063E-02,-3.195340621E-02
-2.4058E-02,-3.116948974E-02
-2.4053E-02,-3.095743644E-02
-2.4048E-02,-2.749837387E-02
-2.4043E-02,-2.769131076E-02
-2.4038E-02,-2.932682502E-02
-2.4033E-02,-2.964775360E-02
-2.4028E-02,-3.074467266E-02
-2.4023E-02,-2.928846061E-02
-2.4018E-02,-2.642108524E-02
-2.4013E-02,-2.540185344E-02
-2.4008E-02,-2.774785793E-02
-2.4003E-02,-2.742089641E-02
-2.3998E-02,-2.687673938E-02
-2.3993E-02,-2.592580593E-02
-2.3988E-02,-2.649710453E-02
-2.3983E-02,-2.745736206E-02
-2.3978E-02,-2.725803936E-02
-2.3973E-02,-2.708064926E-02
-2.3968E-02,-2.747954452E-02
-2.3963E-02,-2.907703483E-02
-2.3958E-02,-3.180403125E-02
-2.3953E-02,-3.139348209E-02
-2.3948E-02,-3.031502044E-02
-2.3943E-02,-2.793498695E-02
-2.3938E-02,-2.824189079E-02
-2.3933E-02,-3.184967220E-02
-2.3928E-02,-3.136840045E-02
-2.3923E-02,-3.118482673E-02
-2.3918E-02,-3.065863597E-02
-2.3913E-02,-3.143271434E-02
-2.3908E-02,-3.041433799E-02
-2.3903E-02,-2.907820117E-02
-2.3898E-02,-2.868050468E-02
-2.3893E-02,-2.737735641E-02
-2.3888E-02,-2.812400615E-02
-2.3883E-02,-2.932335746E-02
-2.3878E-02,-2.828991592E-02
-2.3873E-02,-2.712706649E-02
-2.3868E-02,-2.726349342E-02
-2.3863E-02,-2.906345928E-02
