[s],CH1[V]
-2.4999E-02,-3.60781E-02
-2.4994E-02,-3.39844E-02
-2.4989E-02,-3.65156E-02
-2.4984E-02,-3.16406E-02
-2.4979E-02,-2.77031E-02
-2.4974E-02,-3.01094E-02
-2.4969E-02,-3.43906E-02
-2.4964E-02,-3.68906E-02
-2.4959E-02,-3.12656E-02
-2.4954E-02,-3.24219E-02
-2.4949E-02,-4.33281E-02
-2.4944E-02,-4.31719E-02
-2.4939E-02,-4.18594E-02
-2.4934E-02,-4.71094E-02
-2.4929E-02,-4.27344E-02
-2.4924E-02,-3.71406E-02
-2.4919E-02,-4.14219E-02
-2.4914E-02,-4.83906E-02
-2.4909E-02,-4.22344E-02
-2.4904E-02,-3.62031E-02
-2.4899E-02,-4.37031E-02
-2.4894E-02,-4.77344E-02
-2.4889E-02,-4.15781E-02
-2.4884E-02,-3.59844E-02
-2.4879E-02,-4.89219E-02
-2.4874E-02,-5.85469E-02
-2.4869E-02,-5.41406E-02
-2.4864E-02,-4.57344E-02
-2.4859E-02,-4.19844E-02
-2.4854E-02,-3.93281E-02
-2.4849E-02,-3.61406E-02
-2.4844E-02,-3.52344E-02
-2.4839E-02,-3.77656E-02
-2.4834E-02,-4.03906E-02
-2.4829E-02,-4.47344E-02
-2.4824E-02,-4.27656E-02
-2.4819E-02,-4.57344E-02
-2.4814E-02,-4.22656E-02
-2.4809E-02,-4.35469E-02
-2.4804E-02,-4.28906E-02
-2.4799E-02,-4.01719E-02
-2.4794E-02,-3.63281E-02
-2.4789E-02,-3.35781E-02
-2.4784E-02,-3.29531E-02
-2.4779E-02,-4.21406E-02
-2.4774E-02,-4.87344E-02
-2.4769E-02,-4.86094E-02
-2.4764E-02,-4.77031E-02
-2.4759E-02,-4.87656E-02
-2.4754E-02,-4.74531E-02
-2.4749E-02,-3.58906E-02
-2.4744E-02,-3.05781E-02
-2.4739E-02,-3.64844E-02
-2.4734E-02,-4.88594E-02
-2.4729E-02,-5.39844E-02
-2.4724E-02,-5.04531E-02
-2.4719E-02,-4.52344E-02
-2.4714E-02,-4.26406E-02
-2.4709E-02,-4.61719E-02
-2.4704E-02,-4.58906E-02
-2.4699E-02,-3.91406E-02
-2.4694E-02,-3.59531E-02
-2.4689E-02,-3.90781E-02
-2.4684E-02,-4.33281E-02
-2.4679E-02,-5.26719E-02
-2.4674E-02,-4.98281E-02
-2.4669E-02,-5.01719E-02
-2.4664E-02,-5.29219E-02
-2.4659E-02,-4.39844E-02
-2.4654E-02,-4.29844E-02
-2.4649E-02,-4.34219E-02
-2.4644E-02,-4.35469E-02
-2.4639E-02,-3.36094E-02
-2.4634E-02,-3.77656E-02
-2.4629E-02,-4.93906E-02
-2.4624E-02,-5.15469E-02
-2.4619E-02,-4.65156E-02
-2.4614E-02,-4.47656E-02
-2.4609E-02,-4.74844E-02
-2.4604E-02,-4.91406E-02
-2.4599E-02,-4.87969E-02
-2.4594E-02,-5.00469E-02
-2.4589E-02,-5.03281E-02
-2.4584E-02,-4.56406E-02
-2.4579E-02,-4.72969E-02
-2.4574E-02,-4.57344E-02
-2.4569E-02,-3.97344E-02
-2.4564E-02,-4.94219E-02
-2.4559E-02,-5.49531E-02
-2.4554E-02,-5.21406E-02
-2.4549E-02,-5.67031E-02
-2.4544E-02,-6.19531E-02
-2.4539E-02,-6.39531E-02
-2.4534E-02,-4.90156E-02
-2.4529E-02,-4.21094E-02
-2.4524E-02,-4.47031E-02
-2.4519E-02,-5.23906E-02
-2.4514E-02,-4.97969E-02
-2.4509E-02,-4.88594E-02
-2.4504E-02,-5.46094E-02
-2.4498E-02,-5.55469E-02
-2.4493E-02,-5.42656E-02
-2.4488E-02,-6.19219E-02
-2.4483E-02,-6.05469E-02
-2.4478E-02,-6.07031E-02
-2.4473E-02,-5.84219E-02
-2.4468E-02,-6.06719E-02
-2.4463E-02,-4.95156E-02
-2.4458E-02,-4.59219E-02
-2.4453E-02,-5.92031E-02
-2.4448E-02,-6.25781E-02
-2.4443E-02,-5.61094E-02
-2.4438E-02,-5.00781E-02
-2.4433E-02,-4.90156E-02
-2.4428E-02,-4.49844E-02
-2.4423E-02,-4.43594E-02
-2.4418E-02,-5.20156E-02
-2.4413E-02,-5.69531E-02
-2.4408E-02,-5.71406E-02
-2.4403E-02,-5.66094E-02
-2.4398E-02,-5.10156E-02
-2.4393E-02,-4.07031E-02
-2.4388E-02,-3.91094E-02
-2.4383E-02,-4.60156E-02
-2.4378E-02,-3.96719E-02
-2.4373E-02,-3.90781E-02
-2.4368E-02,-4.59219E-02
-2.4363E-02,-4.85156E-02
-2.4358E-02,-4.65469E-02
-2.4353E-02,-3.77031E-02
-2.4348E-02,-4.89219E-02
-2.4343E-02,-4.59844E-02
-2.4338E-02,-3.73906E-02
-2.4333E-02,-3.60781E-02
-2.4328E-02,-3.77031E-02
-2.4323E-02,-4.17344E-02
-2.4318E-02,-3.95469E-02
-2.4313E-02,-4.28906E-02
-2.4308E-02,-4.11094E-02
-2.4303E-02,-4.01719E-02
-2.4298E-02,-4.11719E-02
-2.4293E-02,-4.83594E-02
-2.4288E-02,-4.78906E-02
-2.4283E-02,-4.84844E-02
-2.4278E-02,-5.53906E-02
-2.4273E-02,-4.57344E-02
-2.4268E-02,-3.70469E-02
-2.4263E-02,-3.99219E-02
-2.4258E-02,-3.74219E-02
-2.4253E-02,-3.08594E-02
-2.4248E-02,-2.68281E-02
-2.4243E-02,-3.22344E-02
-2.4238E-02,-4.04531E-02
-2.4233E-02,-3.96719E-02
-2.4228E-02,-3.54844E-02
-2.4223E-02,-2.89531E-02
-2.4218E-02,-2.77344E-02
-2.4213E-02,-2.52656E-02
-2.4208E-02,-2.62031E-02
-2.4203E-02,-2.17031E-02
-2.4198E-02,-2.39219E-02
-2.4193E-02,-2.59531E-02
-2.4188E-02,-3.44219E-02
-2.4183E-02,-4.00469E-02
-2.4178E-02,-3.28281E-02
-2.4173E-02,-4.11719E-02
-2.4168E-02,-6.97656E-02
-2.4163E-02,-1.88391E-01
-2.4158E-02,-1.80641E-01
-2.4153E-02,-1.52328E-01
