[s],CH1[V]
-2.4999E-02,-2.335898376E-02
-2.4994E-02,-2.285474563E-02
-2.4989E-02,-2.109270263E-02
-2.4984E-02,-2.205847716E-02
-2.4979E-02,-2.498243880E-02
-2.4974E-02,-2.646552062E-02
-2.4969E-02,-2.655319190E-02
-2.4964E-02,-2.451286864E-02
-2.4959E-02,-2.304021239E-02
-2.4954E-02,-2.217547011E-02
-2.4949E-02,-2.379613090E-02
-2.4944E-02,-2.508785224E-02
-2.4939E-02,-2.476602149E-02
-2.4934E-02,-2.611005950E-02
-2.4929E-02,-2.429789519E-02
-2.4924E-02,-2.416721320E-02
-2.4919E-02,-2.287839293E-02
-2.4914E-02,-2.381409812E-02
-2.4909E-02,-2.444559073E-02
-2.4904E-02,-2.262313056E-02
-2.4899E-02,-2.228119636E-02
-2.4894E-02,-2.118735480E-02
-2.4889E-02,-2.127871490E-02
-2.4884E-02,-2.127650046E-02
-2.4879E-02,-2.153193831E-02
-2.4874E-02,-2.273654342E-02
-2.4869E-02,-2.302324843E-02
-2.4864E-02,-2.365990233E-02
-2.4859E-02,-2.176418662E-02
-2.4854E-02,-2.179604125E-02
-2.4849E-02,-2.283058333E-02
-2.4844E-02,-2.338443351E-02
-2.4839E-02,-2.202251410E-02
-2.4834E-02,-1.902915168E-02
-2.4829E-02,-1.757523894E-02
-2.4824E-02,-1.829393172E-02
-2.4819E-02,-1.978240371E-02
-2.4814E-02,-2.195087218E-02
-2.4809E-02,-2.627136779E-02
-2.4804E-02,-2.752893233E-02
-2.4799E-02,-2.628313804E-02
-2.4794E-02,-2.488901496E-02
-2.4789E-02,-2.335646605E-02
-2.4784E-02,-2.236166549E-02
-2.4779E-02,-2.266882491E-02
-2.4774E-02,-2.470884299E-02
-2.4769E-02,-2.687603354E-02
-2.4764E-02,-2.832073951E-02
-2.4759E-02,-3.150908065E-02
-2.4754E-02,-3.136923957E-02
-2.4749E-02,-2.807233787E-02
-2.4744E-02,-2.812450385E-02
-2.4739E-02,-2.725870490E-02
-2.4734E-02,-2.802141929E-02
-2.4729E-02,-2.827100348E-02
-2.4724E-02,-2.748547530E-02
-2.4719E-02,-2.801214004E-02
-2.4714E-02,-2.946151710E-02
-2.4709E-02,-3.104783607E-02
-2.4704E-02,-3.069847465E-02
-2.4699E-02,-2.934350181E-02
-2.4694E-02,-2.800849509E-02
