[s],CH1[V]
-2.4999E-02,-2.716683555E-02
-2.4994E-02,-2.842211890E-02
-2.4989E-02,-2.613965774E-02
-2.4984E-02,-2.583857512E-02
-2.4979E-02,-2.903791595E-02
-2.4974E-02,-3.102678466E-02
-2.4969E-02,-3.198948264E-02
-2.4964E-02,-3.092539191E-02
-2.4959E-02,-3.071343398E-02
-2.4954E-02,-2.961794448E-02
-2.4949E-02,-2.749954581E-02
-2.4944E-02,-2.794082046E-02
-2.4939E-02,-2.898866820E-02
-2.4934E-02,-2.818213058E-02
-2.4929E-02,-2.925268912E-02
-2.4924E-02,-3.128393912E-02
-2.4919E-02,-3.076900268E-02
-2.4914E-02,-2.717879081E-02
-2.4909E-02,-2.808434653E-02
-2.4904E-02,-2.959729934E-02
-2.4899E-02,-2.980072951E-02
-2.4894E-02,-2.998948455E-02
-2.4889E-02,-3.139396071E-02
-2.4884E-02,-3.289872718E-02
-2.4879E-02,-3.369243217E-02
-2.4874E-02,-3.500473189E-02
-2.4869E-02,-3.434432197E-02
-2.4864E-02,-3.113632751E-02
-2.4859E-02,-2.733400893E-02
-2.4854E-02,-2.557205749E-02
-2.4849E-02,-2.605507255E-02
-2.4844E-02,-2.447660232E-02
-2.4839E-02,-2.569965148E-02
-2.4834E-02,-2.926611495E-02
-2.4829E-02,-3.255374312E-02
-2.4824E-02,-3.090916991E-02
-2.4819E-02,-2.820066810E-02
-2.4814E-02,-2.784586692E-02
-2.4809E-02,-2.526678252E-02
-2.4804E-02,-2.419273162E-02
-2.4799E-02,-2.742178893E-02
-2.4794E-02,-3.135518432E-02
-2.4789E-02,-3.243216872E-02
-2.4784E-02,-3.278047347E-02
-2.4779E-02,-3.356730628E-02
-2.4774E-02,-3.124392867E-02
-2.4769E-02,-3.005116248E-02
-2.4764E-02,-2.842431617E-02
-2.4759E-02,-2.652973914E-02
-2.4754E-02,-2.511337638E-02
-2.4749E-02,-2.746641707E-02
-2.4744E-02,-3.158775878E-02
-2.4739E-02,-3.182757545E-02
-2.4734E-02,-2.995571113E-02
-2.4729E-02,-3.050694251E-02
-2.4724E-02,-2.985092521E-02
-2.4719E-02,-2.820907950E-02
-2.4714E-02,-2.908701301E-02
-2.4709E-02,-3.221934867E-02
-2.4704E-02,-3.098082900E-02
