[s],CH1[V]
-2.4999E-02,-3.772874618E-02
-2.4994E-02,-3.652627349E-02
-2.4989E-02,-3.449832511E-02
-2.4984E-02,-3.479993606E-02
-2.4979E-02,-3.659499335E-02
-2.4974E-02,-3.629627013E-02
-2.4969E-02,-3.463047004E-02
-2.4964E-02,-3.538680053E-02
-2.4959E-02,-3.540329719E-02
-2.4954E-02,-3.492742896E-02
-2.4949E-02,-3.499850440E-02
-2.4944E-02,-3.786443686E-02
-2.4939E-02,-3.761467719E-02
-2.4934E-02,-3.598628592E-02
-2.4929E-02,-3.434717155E-02
-2.4924E-02,-3.434016776E-02
-2.4919E-02,-3.344500899E-02
-2.4914E-02,-3.185447288E-02
-2.4909E-02,-3.450741553E-02
-2.4904E-02,-3.394236350E-02
-2.4899E-02,-3.339734435E-02
-2.4894E-02,-3.413929534E-02
-2.4889E-02,-3.268606925E-02
-2.4884E-02,-3.311979651E-02
-2.4879E-02,-3.231894660E-02
-2.4874E-02,-3.362155890E-02
-2.4869E-02,-3.473520064E-02
-2.4864E-02,-3.261549735E-02
-2.4859E-02,-3.243790030E-02
-2.4854E-02,-3.306406760E-02
-2.4849E-02,-3.369380355E-02
-2.4844E-02,-3.242376494E-02
-2.4839E-02,-3.391621757E-02
-2.4834E-02,-3.422923827E-02
-2.4829E-02,-3.505410361E-02
-2.4824E-02,-3.592063498E-02
-2.4819E-02,-3.538707519E-02
-2.4814E-02,-3.566210723E-02
-2.4809E-02,-3.363849807E-02
-2.4804E-02,-3.354145408E-02
-2.4799E-02,-3.384425521E-02
-2.4794E-02,-3.520685744E-02
-2.4789E-02,-3.622660995E-02
-2.4784E-02,-3.170438933E-02
-2.4779E-02,-3.154721999E-02
-2.4774E-02,-3.207306075E-02
-2.4769E-02,-3.391949821E-02
-2.4764E-02,-3.510391593E-02
-2.4759E-02,-3.553158355E-02
-2.4754E-02,-3.473651481E-02
-2.4749E-02,-3.489096045E-02
-2.4744E-02,-3.503937316E-02
-2.4739E-02,-3.432927489E-02
-2.4734E-02,-3.294992614E-02
-2.4729E-02,-3.262458396E-02
-2.4724E-02,-3.217447066E-02
-2.4719E-02,-3.149035430E-02
-2.4714E-02,-3.228593993E-02
-2.4709E-02,-3.160019279E-02
-2.4704E-02,-3.281941962E-02
-2.4699E-02,-3.601476073E-02
-2.4694E-02,-3.689174247E-02
-2.4689E-02,-3.559740615E-02
-2.4684E-02,-3.464442229E-02
-2.4679E-02,-3.522199225E-02
-2.4674E-02,-3.517236495E-02
-2.4669E-02,-3.464830756E-02
-2.4664E-02,-3.192244697E-02
-2.4659E-02,-3.199130988E-02
-2.4654E-02,-3.299599242E-02
-2.4649E-02,-3.103796363E-02
-2.4644E-02,-3.047643065E-02
-2.4639E-02,-3.166705871E-02
-2.4634E-02,-3.306854987E-02
-2.4629E-02,-3.445922828E-02
-2.4624E-02,-3.792694449E-02
-2.4619E-02,-3.731317687E-02
-2.4614E-02,-3.506272483E-02
-2.4609E-02,-3.480664420E-02
-2.4604E-02,-3.267213988E-02
-2.4599E-02,-3.040153670E-02
-2.4594E-02,-2.907491469E-02
-2.4589E-02,-3.060169196E-02
-2.4584E-02,-3.120351005E-02
-2.4579E-02,-3.144781089E-02
-2.4574E-02,-3.426838660E-02
-2.4569E-02,-3.386615539E-02
-2.4564E-02,-3.232314277E-02
-2.4559E-02,-3.080933928E-02
-2.4554E-02,-3.238588309E-02
-2.4549E-02,-3.207640243E-02
-2.4544E-02,-3.159492469E-02
-2.4539E-02,-3.229225898E-02
-2.4534E-02,-3.239350104E-02
-2.4529E-02,-3.587075973E-02
-2.4524E-02,-3.605806708E-02
-2.4519E-02,-3.604763389E-02
-2.4514E-02,-3.402959037E-02
-2.4509E-02,-3.280723929E-02
-2.4504E-02,-3.034140372E-02
-2.4498E-02,-2.970538306E-02
-2.4493E-02,-3.098918700E-02
-2.4488E-02,-3.069700027E-02
-2.4483E-02,-3.282733512E-02
-2.4478E-02,-3.261252570E-02
-2.4473E-02,-3.092905021E-02
-2.4468E-02,-3.053012252E-02
-2.4463E-02,-3.078387427E-02
-2.4458E-02,-3.038935637E-02
-2.4453E-02,-2.957144141E-02
-2.4448E-02,-2.962692618E-02
-2.4443E-02,-3.220678687E-02
-2.4438E-02,-3.276149154E-02
-2.4433E-02,-3.118782401E-02
-2.4428E-02,-3.195927024E-02
-2.4423E-02,-3.326448607E-02
-2.4418E-02,-3.203404975E-02
-2.4413E-02,-3.066528296E-02
-2.4408E-02,-3.222940612E-02
-2.4403E-02,-3.145569396E-02
-2.4398E-02,-3.177842307E-02
-2.4393E-02,-3.163051391E-02
-2.4388E-02,-3.013672996E-02
-2.4383E-02,-3.064440322E-02
-2.4378E-02,-3.110494971E-02
-2.4373E-02,-3.374496818E-02
-2.4368E-02,-3.212310576E-02
-2.4363E-02,-2.925232291E-02
-2.4358E-02,-3.069846320E-02
-2.4353E-02,-3.246322417E-02
