[s],CH1[V]
-2.4999E-02,-2.882740951E-02
-2.4994E-02,-2.900720954E-02
-2.4989E-02,-2.907840323E-02
-2.4984E-02,-3.052994132E-02
-2.4979E-02,-2.977146697E-02
-2.4974E-02,-2.753019881E-02
-2.4969E-02,-2.828896499E-02
-2.4964E-02,-2.947248626E-02
-2.4959E-02,-2.955504394E-02
-2.4954E-02,-3.029068542E-02
-2.4949E-02,-3.002958083E-02
-2.4944E-02,-2.996269393E-02
-2.4939E-02,-2.944192672E-02
-2.4934E-02,-3.026906562E-02
-2.4929E-02,-3.058392119E-02
-2.4924E-02,-3.212224174E-02
-2.4919E-02,-3.097979140E-02
-2.4914E-02,-2.941322494E-02
-2.4909E-02,-2.875645995E-02
-2.4904E-02,-2.435110068E-02
-2.4899E-02,-2.049374175E-02
-2.4894E-02,-2.131504035E-02
-2.4889E-02,-2.528742957E-02
-2.4884E-02,-2.775442290E-02
-2.4879E-02,-2.875510001E-02
-2.4874E-02,-2.965912032E-02
-2.4869E-02,-2.881137252E-02
-2.4864E-02,-2.732881141E-02
-2.4859E-02,-2.628889441E-02
-2.4854E-02,-2.574164557E-02
-2.4849E-02,-2.425063109E-02
-2.4844E-02,-2.697906280E-02
-2.4839E-02,-2.910243011E-02
-2.4834E-02,-2.636645293E-02
-2.4829E-02,-2.794721770E-02
-2.4824E-02,-3.102718711E-02
-2.4819E-02,-3.165091681E-02
-2.4814E-02,-2.969432616E-02
-2.4809E-02,-2.735593009E-02
-2.4804E-02,-2.571954322E-02
-2.4799E-02,-2.569018722E-02
-2.4794E-02,-2.694555068E-02
-2.4789E-02,-2.999919486E-02
-2.4784E-02,-3.084682250E-02
-2.4779E-02,-2.934813666E-02
-2.4774E-02,-2.938238692E-02
-2.4769E-02,-2.969366622E-02
-2.4764E-02,-2.884118819E-02
-2.4759E-02,-2.724153304E-02
-2.4754E-02,-2.783120704E-02
-2.4749E-02,-2.882834983E-02
-2.4744E-02,-3.011053252E-02
-2.4739E-02,-2.992634559E-02
-2.4734E-02,-3.011030555E-02
-2.4729E-02,-2.947881293E-02
-2.4724E-02,-2.764788795E-02
-2.4719E-02,-2.812194800E-02
-2.4714E-02,-2.659266829E-02
-2.4709E-02,-2.744910026E-02
-2.4704E-02,-2.863192916E-02
-2.4699E-02,-2.815998054E-02
-2.4694E-02,-2.605447555E-02
-2.4689E-02,-2.689268661E-02
-2.4684E-02,-2.796019721E-02
-2.4679E-02,-2.793867087E-02
-2.4674E-02,-2.698146224E-02
-2.4669E-02,-2.721764541E-02
-2.4664E-02,-2.743336654E-02
-2.4659E-02,-2.617287612E-02
-2.4654E-02,-2.508642936E-02
-2.4649E-02,-2.482497954E-02
-2.4644E-02,-2.572386909E-02
-2.4639E-02,-2.768851447E-02
-2.4634E-02,-2.970461631E-02
-2.4629E-02,-2.733700156E-02
-2.4624E-02,-2.602246642E-02
-2.4619E-02,-2.526223731E-02
-2.4614E-02,-2.704827094E-02
-2.4609E-02,-2.749230933E-02
-2.4604E-02,-2.610712409E-02
-2.4599E-02,-2.743405318E-02
-2.4594E-02,-2.711137366E-02
-2.4589E-02,-2.612001967E-02
-2.4584E-02,-2.698994231E-02
-2.4579E-02,-2.844033599E-02
-2.4574E-02,-2.815662742E-02
-2.4569E-02,-2.788278937E-02
-2.4564E-02,-2.991433692E-02
-2.4559E-02,-2.996729827E-02
-2.4554E-02,-2.939708304E-02
-2.4549E-02,-2.705297637E-02
-2.4544E-02,-2.760106254E-02
-2.4539E-02,-2.869659972E-02
-2.4534E-02,-2.845573783E-02
-2.4529E-02,-2.791551375E-02
