[s],CH1[V]
-2.4999E-02,-2.871912169E-02
-2.4994E-02,-3.123961806E-02
-2.4989E-02,-3.527276969E-02
-2.4984E-02,-3.743322921E-02
-2.4979E-02,-3.978815055E-02
-2.4974E-02,-3.981408286E-02
-2.4969E-02,-3.697269988E-02
-2.4964E-02,-3.591813636E-02
-2.4959E-02,-3.346503806E-02
-2.4954E-02,-2.963748336E-02
-2.4949E-02,-2.880635428E-02
-2.4944E-02,-2.783348250E-02
-2.4939E-02,-2.876381660E-02
-2.4934E-02,-2.910420775E-02
-2.4929E-02,-3.025444961E-02
-2.4924E-02,-3.070758605E-02
-2.4919E-02,-2.946803641E-02
-2.4914E-02,-2.960983253E-02
-2.4909E-02,-2.865868735E-02
-2.4904E-02,-2.813051581E-02
-2.4899E-02,-2.804810119E-02
-2.4894E-02,-2.956785750E-02
-2.4889E-02,-3.217495704E-02
-2.4884E-02,-3.242849135E-02
-2.4879E-02,-3.236097884E-02
-2.4874E-02,-3.129761291E-02
-2.4869E-02,-2.921928573E-02
-2.4864E-02,-2.725715995E-02
-2.4859E-02,-2.782685065E-02
-2.4854E-02,-2.952771926E-02
-2.4849E-02,-2.925707030E-02
-2.4844E-02,-2.921532226E-02
-2.4839E-02,-3.032954001E-02
-2.4834E-02,-2.897528434E-02
-2.4829E-02,-2.804660201E-02
-2.4824E-02,-2.874336982E-02
-2.4819E-02,-3.084643149E-02
-2.4814E-02,-3.076230788E-02
-2.4809E-02,-3.017166114E-02
-2.4804E-02,-2.908520484E-02
-2.4799E-02,-2.880538726E-02
-2.4794E-02,-2.784195113E-02
-2.4789E-02,-2.888481879E-02
-2.4784E-02,-2.945341468E-02
-2.4779E-02,-2.979229140E-02
-2.4774E-02,-3.012954116E-02
-2.4769E-02,-2.817806792E-02
-2.4764E-02,-2.725580955E-02
-2.4759E-02,-2.509521079E-02
-2.4754E-02,-2.642794013E-02
-2.4749E-02,-2.818910575E-02
-2.4744E-02,-2.953001571E-02
-2.4739E-02,-2.949645400E-02
-2.4734E-02,-2.891784072E-02
-2.4729E-02,-2.927799964E-02
-2.4724E-02,-2.914011168E-02
-2.4719E-02,-2.752033591E-02
-2.4714E-02,-2.906617713E-02
-2.4709E-02,-2.973725486E-02
-2.4704E-02,-3.005162978E-02
-2.4699E-02,-2.711884093E-02
-2.4694E-02,-2.715329337E-02
-2.4689E-02,-2.802468276E-02
-2.4684E-02,-2.814383674E-02
-2.4679E-02,-3.023589301E-02
-2.4674E-02,-3.011898589E-02
-2.4669E-02,-3.129751372E-02
-2.4664E-02,-3.077857947E-02
-2.4659E-02,-2.991771674E-02
-2.4654E-02,-2.906989074E-02
-2.4649E-02,-2.663593841E-02
-2.4644E-02,-3.009196448E-02
-2.4639E-02,-3.130216193E-02
-2.4634E-02,-3.085514426E-02
-2.4629E-02,-3.224883437E-02
-2.4624E-02,-3.239846587E-02
-2.4619E-02,-3.132721877E-02
-2.4614E-02,-2.912844825E-02
-2.4609E-02,-2.979993415E-02
-2.4604E-02,-3.217681861E-02
-2.4599E-02,-3.289512610E-02
-2.4594E-02,-3.173259521E-02
-2.4589E-02,-2.897769141E-02
-2.4584E-02,-3.025698066E-02
-2.4579E-02,-2.990888762E-02
-2.4574E-02,-3.062076545E-02
-2.4569E-02,-2.881085944E-02
-2.4564E-02,-2.667824340E-02
-2.4559E-02,-2.714201903E-02
-2.4554E-02,-2.603915572E-02
-2.4549E-02,-2.682345557E-02
-2.4544E-02,-2.707740378E-02
-2.4539E-02,-2.922244239E-02
-2.4534E-02,-3.039476562E-02
-2.4529E-02,-2.988006377E-02
-2.4524E-02,-2.863655257E-02
-2.4519E-02,-2.778603148E-02
-2.4514E-02,-2.733147979E-02
-2.4509E-02,-2.604922080E-02
-2.4504E-02,-2.725355506E-02
-2.4498E-02,-2.931459594E-02
-2.4493E-02,-2.689692664E-02
-2.4488E-02,-2.678953338E-02
-2.4483E-02,-2.715398955E-02
-2.4478E-02,-2.730130363E-02
-2.4473E-02,-2.795895171E-02
-2.4468E-02,-2.812181830E-02
-2.4463E-02,-2.782283378E-02
-2.4458E-02,-2.807907462E-02
-2.4453E-02,-2.802366805E-02
-2.4448E-02,-2.655592704E-02
-2.4443E-02,-2.658871245E-02
-2.4438E-02,-2.535464072E-02
-2.4433E-02,-2.589015746E-02
-2.4428E-02,-2.718703818E-02
-2.4423E-02,-2.751768470E-02
-2.4418E-02,-2.634484076E-02
-2.4413E-02,-2.505677962E-02
-2.4408E-02,-2.466436744E-02
-2.4403E-02,-2.578240943E-02
-2.4398E-02,-2.458529639E-02
-2.4393E-02,-2.484385657E-02
-2.4388E-02,-2.616753554E-02
-2.4383E-02,-2.699819922E-02
-2.4378E-02,-2.668259978E-02
-2.4373E-02,-2.578375793E-02
-2.4368E-02,-2.642459655E-02
-2.4363E-02,-3.585778594E-02
-2.4358E-02,-3.796543670E-02
-2.4353E-02,-3.542891097E-02
-2.4348E-02,-3.256457877E-02
-2.4343E-02,-2.759592605E-02
-2.4338E-02,-3.036852050E-02
-2.4333E-02,-3.216465735E-02
-2.4328E-02,-2.990983748E-02
-2.4323E-02,-2.851009727E-02
-2.4318E-02,-2.902513862E-02
-2.4313E-02,-3.210891509E-02
-2.4308E-02,-3.654896712E-02
-2.4303E-02,-3.368401694E-02
-2.4298E-02,-3.116185927E-02
-2.4293E-02,-2.653383613E-02
-2.4288E-02,-2.451276565E-02
-2.4283E-02,-2.790501952E-02
-2.4278E-02,-2.837336516E-02
-2.4273E-02,-2.662323356E-02
-2.4268E-02,-2.475852752E-02
-2.4263E-02,-2.552896857E-02
-2.4258E-02,-2.572665000E-02
-2.4253E-02,-2.734292197E-02
-2.4248E-02,-2.617348647E-02
-2.4243E-02,-2.570161605E-02
-2.4238E-02,-2.475501418E-02
-2.4233E-02,-2.549933791E-02
-2.4228E-02,-2.447529006E-02
-2.4223E-02,-2.148818183E-02
-2.4218E-02,-2.237553191E-02
-2.4213E-02,-2.319062209E-02
-2.4208E-02,-2.545910239E-02
-2.4203E-02,-2.773841262E-02
-2.4198E-02,-2.585329986E-02
-2.4193E-02,-2.500689673E-02
-2.4188E-02,-2.265886092E-02
-2.4183E-02,-2.494026732E-02
-2.4178E-02,-2.642399955E-02
-2.4173E-02,-2.549084067E-02
-2.4168E-02,-2.432065368E-02
-2.4163E-02,-2.333724380E-02
-2.4158E-02,-2.426395583E-02
-2.4153E-02,-2.363073134E-02
-2.4148E-02,-2.500971961E-02
-2.4143E-02,-2.673555350E-02
-2.4138E-02,-2.688418174E-02
-2.4133E-02,-2.698240638E-02
-2.4128E-02,-2.527010703E-02
-2.4123E-02,-2.601277709E-02
-2.4118E-02,-2.464224410E-02
-2.4113E-02,-2.383658576E-02
-2.4108E-02,-2.550912452E-02
-2.4103E-02,-2.548883224E-02
-2.4098E-02,-2.560333419E-02
-2.4093E-02,-2.505190444E-02
-2.4088E-02,-2.523956466E-02
-2.4083E-02,-2.356695151E-02
-2.4078E-02,-2.354590011E-02
-2.4073E-02,-2.554289222E-02
-2.4068E-02,-2.498161101E-02
-2.4063E-02,-2.383986831E-02
-2.4058E-02,-2.287264037E-02
-2.4053E-02,-2.596525168E-02
-2.4048E-02,-2.654132819E-02
-2.4043E-02,-2.637631774E-02
-2.4038E-02,-2.681534553E-02
-2.4033E-02,-2.664691138E-02
-2.4028E-02,-2.598131347E-02
-2.4023E-02,-2.537661338E-02
-2.4018E-02,-2.452905440E-02
-2.4013E-02,-2.426710868E-02
-2.4008E-02,-2.460616279E-02
-2.4003E-02,-2.791610312E-02
-2.3998E-02,-2.872904372E-02
-2.3993E-02,-2.940691733E-02
-2.3988E-02,-2.786192679E-02
-2.3983E-02,-2.633266807E-02
-2.3978E-02,-2.583092666E-02
-2.3973E-02,-2.576472640E-02
-2.3968E-02,-2.753596091E-02
-2.3963E-02,-2.630728698E-02
-2.3958E-02,-2.276518035E-02
-2.3953E-02,-1.758559775E-02
-2.3948E-02,-1.207002234E-02
-2.3943E-02,-9.904201269E-03
-2.3938E-02,-1.130290389E-02
-2.3933E-02,-2.024781585E-02
-2.3928E-02,-2.865499091E-02
-2.3923E-02,-3.264895606E-02
-2.3918E-02,-3.387983871E-02
-2.3913E-02,-3.072081923E-02
-2.3908E-02,-2.486921096E-02
-2.3903E-02,-1.826453185E-02
-2.3898E-02,-1.338498855E-02
-2.3893E-02,-1.376363921E-02
-2.3888E-02,-1.931166816E-02
-2.3883E-02,-2.528960204E-02
-2.3878E-02,-3.029331565E-02
-2.3873E-02,-3.294517112E-02
-2.3868E-02,-3.134074187E-02
-2.3863E-02,-2.853530288E-02
-2.3858E-02,-2.458645606E-02
-2.3853E-02,-1.909784484E-02
-2.3848E-02,-1.829508185E-02
-2.3843E-02,-2.158404136E-02
-2.3838E-02,-2.699151015E-02
-2.3833E-02,-3.023179030E-02
-2.3828E-02,-3.112596488E-02
-2.3823E-02,-3.247236419E-02
-2.3818E-02,-3.311250854E-02
-2.3813E-02,-3.150024581E-02
-2.3808E-02,-2.752078795E-02
-2.3803E-02,-2.502425933E-02
-2.3798E-02,-2.547635627E-02
-2.3793E-02,-2.698589492E-02
-2.3788E-02,-2.951116920E-02
