[s],CH1[V]
-2.4999E-02,-2.940536773E-02
-2.4994E-02,-3.045281684E-02
-2.4989E-02,-2.990963066E-02
-2.4984E-02,-3.027670562E-02
-2.4979E-02,-3.128804004E-02
-2.4974E-02,-3.113243186E-02
-2.4969E-02,-3.184723175E-02
-2.4964E-02,-3.342788398E-02
-2.4959E-02,-3.333752906E-02
-2.4954E-02,-3.277359951E-02
-2.4949E-02,-3.277395427E-02
-2.4944E-02,-3.318862808E-02
-2.4939E-02,-3.134944427E-02
-2.4934E-02,-3.051040447E-02
-2.4929E-02,-3.162553203E-02
-2.4924E-02,-3.030228794E-02
-2.4919E-02,-2.743919075E-02
-2.4914E-02,-2.772990978E-02
-2.4909E-02,-2.886831653E-02
-2.4904E-02,-2.994048011E-02
-2.4899E-02,-3.136283004E-02
-2.4894E-02,-3.155450141E-02
-2.4889E-02,-3.095794380E-02
-2.4884E-02,-2.980674446E-02
-2.4879E-02,-2.922607601E-02
-2.4874E-02,-2.926214683E-02
-2.4869E-02,-2.969073665E-02
-2.4864E-02,-3.172507083E-02
-2.4859E-02,-3.181982505E-02
-2.4854E-02,-3.135011661E-02
-2.4849E-02,-3.092393672E-02
-2.4844E-02,-2.976767528E-02
-2.4839E-02,-2.795022380E-02
-2.4834E-02,-2.782289398E-02
-2.4829E-02,-2.812165534E-02
-2.4824E-02,-2.875942218E-02
-2.4819E-02,-2.997943485E-02
-2.4814E-02,-3.176684844E-02
-2.4809E-02,-3.051460350E-02
-2.4804E-02,-2.998182476E-02
-2.4799E-02,-3.175521553E-02
-2.4794E-02,-3.208949935E-02
-2.4789E-02,-3.240223682E-02
-2.4784E-02,-3.290173805E-02
-2.4779E-02,-3.317840374E-02
-2.4774E-02,-3.146224773E-02
-2.4769E-02,-3.017414558E-02
-2.4764E-02,-3.164785373E-02
-2.4759E-02,-3.085949123E-02
-2.4754E-02,-3.066319740E-02
-2.4749E-02,-2.849969184E-02
-2.4744E-02,-2.848166931E-02
-2.4739E-02,-2.829605377E-02
-2.4734E-02,-3.002640808E-02
-2.4729E-02,-3.172747219E-02
-2.4724E-02,-3.320419300E-02
-2.4719E-02,-3.389690292E-02
-2.4714E-02,-3.181159770E-02
-2.4709E-02,-3.175902927E-02
-2.4704E-02,-3.184631526E-02
-2.4699E-02,-3.107696903E-02
-2.4694E-02,-3.138504970E-02
-2.4689E-02,-3.220429218E-02
-2.4684E-02,-3.433751476E-02
-2.4679E-02,-3.408316600E-02
-2.4674E-02,-3.360520542E-02
-2.4669E-02,-3.497990882E-02
-2.4664E-02,-3.289484680E-02
-2.4659E-02,-3.128341091E-02
-2.4654E-02,-3.050936306E-02
-2.4649E-02,-3.130263889E-02
-2.4644E-02,-2.956179988E-02
-2.4639E-02,-2.898396385E-02
-2.4634E-02,-2.751596916E-02
-2.4629E-02,-2.661569870E-02
-2.4624E-02,-2.862519634E-02
-2.4619E-02,-3.160368812E-02
-2.4614E-02,-3.343728435E-02
-2.4609E-02,-3.043755233E-02
-2.4604E-02,-2.888345802E-02
-2.4599E-02,-2.930833614E-02
-2.4594E-02,-2.934320533E-02
-2.4589E-02,-2.658642375E-02
-2.4584E-02,-2.734352767E-02
-2.4579E-02,-2.968752849E-02
-2.4574E-02,-2.924897277E-02
-2.4569E-02,-2.946275604E-02
-2.4564E-02,-3.370225036E-02
-2.4559E-02,-3.857006252E-02
-2.4554E-02,-4.400075328E-02
-2.4549E-02,-4.826996982E-02
-2.4544E-02,-4.735932624E-02
-2.4539E-02,-3.964842880E-02
-2.4534E-02,-3.032035244E-02
-2.4529E-02,-2.502900207E-02
-2.4524E-02,-2.375416744E-02
-2.4519E-02,-2.563939559E-02
-2.4514E-02,-2.717805660E-02
-2.4509E-02,-3.119616973E-02
-2.4504E-02,-3.509070957E-02
-2.4498E-02,-3.514927375E-02
-2.4493E-02,-3.154383171E-02
-2.4488E-02,-2.841398704E-02
-2.4483E-02,-2.510184753E-02
-2.4478E-02,-2.428045833E-02
-2.4473E-02,-2.475804317E-02
-2.4468E-02,-2.760847843E-02
-2.4463E-02,-2.956961524E-02
-2.4458E-02,-3.026798713E-02
-2.4453E-02,-3.130903995E-02
-2.4448E-02,-3.069101512E-02
-2.4443E-02,-2.815643489E-02
-2.4438E-02,-2.652597892E-02
-2.4433E-02,-2.617413890E-02
-2.4428E-02,-2.559659278E-02
-2.4423E-02,-2.688490093E-02
-2.4418E-02,-3.003018367E-02
-2.4413E-02,-2.937574852E-02
-2.4408E-02,-2.999326122E-02
-2.4403E-02,-3.145966899E-02
-2.4398E-02,-3.183219802E-02
-2.4393E-02,-2.941293514E-02
-2.4388E-02,-2.880484760E-02
-2.4383E-02,-2.827208602E-02
-2.4378E-02,-2.830261505E-02
-2.4373E-02,-3.017016876E-02
-2.4368E-02,-3.125598514E-02
-2.4363E-02,-3.194280994E-02
-2.4358E-02,-3.166248214E-02
-2.4353E-02,-3.116009510E-02
-2.4348E-02,-3.106211746E-02
-2.4343E-02,-2.984389293E-02
-2.4338E-02,-2.684116733E-02
-2.4333E-02,-2.618650806E-02
-2.4328E-02,-2.878657901E-02
-2.4323E-02,-3.267672145E-02
-2.4318E-02,-3.102198684E-02
-2.4313E-02,-3.057209766E-02
-2.4308E-02,-3.020670402E-02
-2.4303E-02,-3.079465950E-02
-2.4298E-02,-3.019643486E-02
-2.4293E-02,-2.899201477E-02
-2.4288E-02,-2.761486709E-02
-2.4283E-02,-2.881107318E-02
-2.4278E-02,-3.063663089E-02
-2.4273E-02,-3.088442218E-02
-2.4268E-02,-3.128536785E-02
-2.4263E-02,-3.178258026E-02
-2.4258E-02,-3.188831699E-02
-2.4253E-02,-3.199324024E-02
-2.4248E-02,-3.055428302E-02
-2.4243E-02,-2.860306156E-02
-2.4238E-02,-2.789039505E-02
-2.4233E-02,-2.888222492E-02
-2.4228E-02,-3.000326717E-02
-2.4223E-02,-3.090090740E-02
-2.4218E-02,-3.007758796E-02
-2.4213E-02,-2.866875064E-02
-2.4208E-02,-2.824037540E-02
