[s],CH1[V]
-2.4999E-02,-2.688777518E-02
-2.4994E-02,-2.680567908E-02
-2.4989E-02,-2.698669791E-02
-2.4984E-02,-2.595630622E-02
-2.4979E-02,-2.496459365E-02
-2.4974E-02,-2.599227691E-02
-2.4969E-02,-2.774852729E-02
-2.4964E-02,-2.550751853E-02
-2.4959E-02,-2.665463233E-02
-2.4954E-02,-2.749084258E-02
-2.4949E-02,-2.731286597E-02
-2.4944E-02,-2.803197646E-02
-2.4939E-02,-2.896585059E-02
-2.4934E-02,-3.165241599E-02
-2.4929E-02,-3.400177169E-02
-2.4924E-02,-3.821402907E-02
-2.4919E-02,-4.221340537E-02
-2.4914E-02,-3.943937850E-02
-2.4909E-02,-3.475838447E-02
-2.4904E-02,-3.118293929E-02
-2.4899E-02,-2.865949607E-02
-2.4894E-02,-2.390909171E-02
-2.4889E-02,-2.454392219E-02
-2.4884E-02,-2.890444541E-02
-2.4879E-02,-3.146366286E-02
-2.4874E-02,-3.209996772E-02
-2.4869E-02,-3.256591964E-02
-2.4864E-02,-3.300315261E-02
-2.4859E-02,-3.072323775E-02
-2.4854E-02,-2.751950622E-02
-2.4849E-02,-2.736734176E-02
-2.4844E-02,-2.585414863E-02
-2.4839E-02,-2.629223037E-02
-2.4834E-02,-2.797154212E-02
-2.4829E-02,-3.107871604E-02
-2.4824E-02,-3.185703444E-02
-2.4819E-02,-2.933668113E-02
-2.4814E-02,-2.807838035E-02
-2.4809E-02,-2.684582686E-02
-2.4804E-02,-2.584385467E-02
-2.4799E-02,-2.668301749E-02
-2.4794E-02,-2.775249267E-02
-2.4789E-02,-2.813479018E-02
-2.4784E-02,-2.890016341E-02
-2.4779E-02,-3.065379691E-02
-2.4774E-02,-3.047196364E-02
-2.4769E-02,-2.727714896E-02
-2.4764E-02,-2.503148246E-02
-2.4759E-02,-2.497486472E-02
-2.4754E-02,-2.627543044E-02
-2.4749E-02,-2.733588767E-02
-2.4744E-02,-2.900702453E-02
-2.4739E-02,-2.799927306E-02
-2.4734E-02,-2.871543670E-02
-2.4729E-02,-2.936058784E-02
-2.4724E-02,-3.089779258E-02
-2.4719E-02,-3.222299933E-02
-2.4714E-02,-3.033386970E-02
-2.4709E-02,-3.089452338E-02
-2.4704E-02,-3.145506263E-02
-2.4699E-02,-2.953220344E-02
-2.4694E-02,-2.885805297E-02
-2.4689E-02,-2.952364326E-02
-2.4684E-02,-3.011625075E-02
-2.4679E-02,-2.747336936E-02
-2.4674E-02,-2.658115172E-02
-2.4669E-02,-2.919549155E-02
-2.4664E-02,-2.919236732E-02
-2.4659E-02,-2.852962852E-02
-2.4654E-02,-2.875172210E-02
-2.4649E-02,-2.919351363E-02
-2.4644E-02,-2.705485320E-02
-2.4639E-02,-2.680898643E-02
-2.4634E-02,-2.870447516E-02
-2.4629E-02,-3.019081473E-02
-2.4624E-02,-3.152418685E-02
-2.4619E-02,-3.100082374E-02
-2.4614E-02,-3.052825522E-02
-2.4609E-02,-2.765555167E-02
-2.4604E-02,-3.023635077E-02
-2.4599E-02,-3.293049598E-02
-2.4594E-02,-2.995186591E-02
-2.4589E-02,-2.955183768E-02
-2.4584E-02,-3.140832496E-02
-2.4579E-02,-3.276008582E-02
-2.4574E-02,-3.018996024E-02
-2.4569E-02,-2.848562789E-02
-2.4564E-02,-2.933735442E-02
-2.4559E-02,-2.840388274E-02
-2.4554E-02,-2.747254348E-02
-2.4549E-02,-2.702204871E-02
-2.4544E-02,-2.769866729E-02
-2.4539E-02,-2.740705276E-02
-2.4534E-02,-2.923285842E-02
-2.4529E-02,-3.162854171E-02
-2.4524E-02,-3.136632705E-02
-2.4519E-02,-2.946956420E-02
-2.4514E-02,-2.899664855E-02
-2.4509E-02,-3.045060897E-02
-2.4504E-02,-3.134096313E-02
-2.4498E-02,-3.060206389E-02
-2.4493E-02,-3.147661948E-02
-2.4488E-02,-3.182305312E-02
-2.4483E-02,-3.258088470E-02
-2.4478E-02,-3.100918937E-02
-2.4473E-02,-3.150777984E-02
-2.4468E-02,-3.092262053E-02
-2.4463E-02,-3.059533858E-02
-2.4458E-02,-3.092025542E-02
-2.4453E-02,-2.903886771E-02
-2.4448E-02,-2.765398383E-02
-2.4443E-02,-2.803041625E-02
-2.4438E-02,-2.943443847E-02
-2.4433E-02,-2.886777472E-02
-2.4428E-02,-2.850945449E-02
-2.4423E-02,-3.169120193E-02
-2.4418E-02,-3.112795043E-02
-2.4413E-02,-3.016803336E-02
-2.4408E-02,-2.726790214E-02
-2.4403E-02,-2.654395652E-02
-2.4398E-02,-2.761905837E-02
-2.4393E-02,-2.646857238E-02
-2.4388E-02,-2.786120009E-02
-2.4383E-02,-2.966047263E-02
-2.4378E-02,-2.769639373E-02
-2.4373E-02,-2.820287681E-02
-2.4368E-02,-2.968667579E-02
-2.4363E-02,-2.963581634E-02
-2.4358E-02,-2.614297080E-02
-2.4353E-02,-2.750735450E-02
-2.4348E-02,-2.808171439E-02
-2.4343E-02,-2.679088759E-02
-2.4338E-02,-2.632617354E-02
-2.4333E-02,-2.652263045E-02
-2.4328E-02,-2.827320647E-02
-2.4323E-02,-2.605093551E-02
-2.4318E-02,-2.612125754E-02
-2.4313E-02,-2.793930030E-02
-2.4308E-02,-2.723768592E-02
-2.4303E-02,-2.733962417E-02
-2.4298E-02,-2.898299193E-02
-2.4293E-02,-2.994561744E-02
-2.4288E-02,-2.742464423E-02
-2.4283E-02,-2.619295287E-02
-2.4278E-02,-2.709189773E-02
-2.4273E-02,-2.610094619E-02
-2.4268E-02,-2.673434424E-02
-2.4263E-02,-2.791957831E-02
-2.4258E-02,-2.825012755E-02
-2.4253E-02,-2.951157546E-02
-2.4248E-02,-4.071730971E-02
-2.4243E-02,-4.133083510E-02
-2.4238E-02,-3.710989356E-02
-2.4233E-02,-3.304219604E-02
-2.4228E-02,-2.769238448E-02
-2.4223E-02,-3.183290076E-02
-2.4218E-02,-3.276523566E-02
-2.4213E-02,-3.055383468E-02
-2.4208E-02,-2.908551192E-02
-2.4203E-02,-2.877148223E-02
-2.4198E-02,-3.046532416E-02
-2.4193E-02,-3.132007575E-02
-2.4188E-02,-2.866073585E-02
-2.4183E-02,-2.495845008E-02
-2.4178E-02,-2.546126533E-02
-2.4173E-02,-2.884094405E-02
-2.4168E-02,-2.742775130E-02
-2.4163E-02,-2.595928741E-02
-2.4158E-02,-2.652331901E-02
-2.4153E-02,-2.670783210E-02
-2.4148E-02,-2.648523307E-02
-2.4143E-02,-2.665744376E-02
-2.4138E-02,-2.600811362E-02
-2.4133E-02,-2.500229812E-02
-2.4128E-02,-2.488669944E-02
-2.4123E-02,-2.642192054E-02
-2.4118E-02,-2.656305671E-02
-2.4113E-02,-2.491410041E-02
-2.4108E-02,-2.584862113E-02
-2.4103E-02,-2.962714934E-02
-2.4098E-02,-3.019918418E-02
-2.4093E-02,-3.081929564E-02
-2.4088E-02,-3.098431945E-02
-2.4083E-02,-2.991906905E-02
-2.4078E-02,-2.834004569E-02
-2.4073E-02,-2.697257590E-02
-2.4068E-02,-2.849128699E-02
-2.4063E-02,-2.728700423E-02
-2.4058E-02,-2.650234389E-02
-2.4053E-02,-2.648839927E-02
-2.4048E-02,-2.754558730E-02
-2.4043E-02,-2.882658553E-02
-2.4038E-02,-2.769326377E-02
-2.4033E-02,-2.969271445E-02
-2.4028E-02,-3.267007422E-02
-2.4023E-02,-3.536440253E-02
-2.4018E-02,-3.440120292E-02
-2.4013E-02,-3.165639091E-02
-2.4008E-02,-3.023246551E-02
-2.4003E-02,-2.557713485E-02
-2.3998E-02,-2.561256003E-02
-2.3993E-02,-2.699933791E-02
-2.3988E-02,-2.621048713E-02
-2.3983E-02,-2.462803817E-02
-2.3978E-02,-2.570597053E-02
-2.3973E-02,-2.655932212E-02
-2.3968E-02,-2.426515365E-02
-2.3963E-02,-2.386024451E-02
-2.3958E-02,-2.512188888E-02
-2.3953E-02,-2.662927222E-02
-2.3948E-02,-2.815566993E-02
-2.3943E-02,-2.804599738E-02
-2.3938E-02,-2.861933112E-02
-2.3933E-02,-2.677944541E-02
-2.3928E-02,-2.604272056E-02
-2.3923E-02,-2.592173934E-02
-2.3918E-02,-2.501863647E-02
-2.3913E-02,-2.599236465E-02
-2.3908E-02,-2.883472228E-02
-2.3903E-02,-2.961450171E-02
-2.3898E-02,-2.784878325E-02
-2.3893E-02,-2.778640342E-02
-2.3888E-02,-2.884506202E-02
-2.3883E-02,-2.919355178E-02
-2.3878E-02,-2.943228889E-02
-2.3873E-02,-2.740112662E-02
-2.3868E-02,-2.844803405E-02
-2.3863E-02,-2.728919387E-02
-2.3858E-02,-2.800721717E-02
-2.3853E-02,-3.009082389E-02
-2.3848E-02,-2.767543387E-02
-2.3843E-02,-2.498503661E-02
-2.3838E-02,-2.261193061E-02
-2.3833E-02,-1.790315604E-02
-2.3828E-02,-1.156401801E-02
-2.3823E-02,-1.160543227E-02
-2.3818E-02,-1.904557776E-02
-2.3813E-02,-2.416209579E-02
-2.3808E-02,-2.933790183E-02
-2.3803E-02,-3.298822188E-02
-2.3798E-02,-3.345470023E-02
-2.3793E-02,-3.134385085E-02
-2.3788E-02,-2.569589591E-02
-2.3783E-02,-2.145125365E-02
-2.3778E-02,-2.110593772E-02
-2.3773E-02,-2.521291900E-02
-2.3768E-02,-2.850925803E-02
-2.3763E-02,-2.900344062E-02
-2.3758E-02,-3.060515380E-02
-2.3753E-02,-3.219043899E-02
-2.3748E-02,-3.258933234E-02
-2.3743E-02,-2.972941184E-02
-2.3738E-02,-2.640026069E-02
-2.3733E-02,-2.660021186E-02
-2.3728E-02,-2.617848754E-02
-2.3723E-02,-2.367857528E-02
-2.3718E-02,-2.511911178E-02
-2.3713E-02,-2.917136550E-02
-2.3708E-02,-3.040793014E-02
-2.3703E-02,-2.872423720E-02
-2.3698E-02,-2.813026023E-02
-2.3693E-02,-2.559723067E-02
-2.3688E-02,-2.509025359E-02
-2.3683E-02,-2.549473739E-02
-2.3678E-02,-2.729821563E-02
-2.3673E-02,-2.984034324E-02
-2.3668E-02,-3.024104667E-02
-2.3663E-02,-3.077405906E-02
-2.3658E-02,-3.227808738E-02
-2.3653E-02,-3.263522315E-02
-2.3648E-02,-2.935303283E-02
-2.3643E-02,-2.755286193E-02
-2.3638E-02,-2.852137542E-02
-2.3633E-02,-2.756006026E-02
-2.3628E-02,-2.703941894E-02
-2.3623E-02,-2.769578147E-02
-2.3618E-02,-2.879015136E-02
-2.3613E-02,-2.769156241E-02
-2.3608E-02,-2.771799636E-02
-2.3603E-02,-2.734732223E-02
-2.3598E-02,-2.632024932E-02
-2.3593E-02,-2.525281119E-02
