[s],CH1[V]
-2.4999E-02,-2.733050323E-02
-2.4994E-02,-2.856220603E-02
-2.4989E-02,-2.856076217E-02
-2.4984E-02,-3.044534278E-02
-2.4979E-02,-2.924258399E-02
-2.4974E-02,-2.893378234E-02
-2.4969E-02,-2.946653152E-02
-2.4964E-02,-2.805823874E-02
-2.4959E-02,-2.940590644E-02
-2.4954E-02,-3.081759429E-02
-2.4949E-02,-3.247625327E-02
-2.4944E-02,-3.189171576E-02
-2.4939E-02,-3.116814780E-02
-2.4934E-02,-3.152667594E-02
-2.4929E-02,-3.111724448E-02
-2.4924E-02,-3.199627852E-02
-2.4919E-02,-3.182279563E-02
-2.4914E-02,-3.175967765E-02
-2.4909E-02,-3.073701644E-02
-2.4904E-02,-2.947847342E-02
-2.4899E-02,-2.947197890E-02
-2.4894E-02,-3.008296180E-02
-2.4889E-02,-3.124806380E-02
-2.4884E-02,-3.452688384E-02
-2.4879E-02,-3.699485183E-02
-2.4874E-02,-3.615762496E-02
-2.4869E-02,-3.513319564E-02
-2.4864E-02,-3.371525359E-02
-2.4859E-02,-3.174557471E-02
-2.4854E-02,-3.017513442E-02
-2.4849E-02,-3.007948470E-02
-2.4844E-02,-3.080900550E-02
-2.4839E-02,-3.232238746E-02
-2.4834E-02,-3.352005363E-02
-2.4829E-02,-3.349777198E-02
-2.4824E-02,-3.354573607E-02
-2.4819E-02,-3.106042266E-02
-2.4814E-02,-3.021331573E-02
-2.4809E-02,-2.908148742E-02
-2.4804E-02,-2.909538054E-02
-2.4799E-02,-2.902603889E-02
-2.4794E-02,-2.987422538E-02
-2.4789E-02,-3.238253570E-02
-2.4784E-02,-3.175985885E-02
-2.4779E-02,-2.997311378E-02
-2.4774E-02,-3.163923430E-02
-2.4769E-02,-3.069008803E-02
-2.4764E-02,-2.710626769E-02
-2.4759E-02,-2.348455024E-02
-2.4754E-02,-1.818783736E-02
-2.4749E-02,-1.317053008E-02
-2.4744E-02,-1.297234321E-02
-2.4739E-02,-1.599838042E-02
-2.4734E-02,-2.228574157E-02
-2.4729E-02,-2.812539458E-02
-2.4724E-02,-3.630402923E-02
-2.4719E-02,-3.816122985E-02
-2.4714E-02,-3.509530044E-02
-2.4709E-02,-3.046782470E-02
-2.4704E-02,-2.596560645E-02
-2.4699E-02,-2.368286490E-02
-2.4694E-02,-2.314191413E-02
-2.4689E-02,-2.571978927E-02
-2.4684E-02,-3.042889571E-02
-2.4679E-02,-3.415502524E-02
-2.4674E-02,-3.737727714E-02
-2.4669E-02,-3.602975059E-02
-2.4664E-02,-3.296520019E-02
-2.4659E-02,-2.873119140E-02
-2.4654E-02,-2.624296165E-02
-2.4649E-02,-2.602429557E-02
-2.4644E-02,-2.610877395E-02
-2.4639E-02,-2.856497359E-02
-2.4634E-02,-3.087446570E-02
-2.4629E-02,-3.139220214E-02
-2.4624E-02,-3.141892791E-02
-2.4619E-02,-3.189973617E-02
-2.4614E-02,-3.422013259E-02
-2.4609E-02,-3.346753287E-02
-2.4604E-02,-3.240230536E-02
-2.4599E-02,-3.137320685E-02
-2.4594E-02,-3.204956985E-02
-2.4589E-02,-3.291277862E-02
-2.4584E-02,-3.139206672E-02
-2.4579E-02,-2.959451270E-02
-2.4574E-02,-3.054424071E-02
-2.4569E-02,-3.092656684E-02
-2.4564E-02,-3.346934676E-02
-2.4559E-02,-3.321575904E-02
-2.4554E-02,-3.190085578E-02
-2.4549E-02,-3.019947600E-02
-2.4544E-02,-3.201896644E-02
-2.4539E-02,-3.091756988E-02
-2.4534E-02,-2.724252295E-02
-2.4529E-02,-2.663790488E-02
-2.4524E-02,-2.876866889E-02
-2.4519E-02,-3.046792769E-02
-2.4514E-02,-3.064561820E-02
-2.4509E-02,-3.126662993E-02
-2.4504E-02,-3.191297889E-02
-2.4498E-02,-3.291356444E-02
-2.4493E-02,-3.394752288E-02
-2.4488E-02,-3.283323836E-02
-2.4483E-02,-3.164309859E-02
