[s],CH1[V]
-2.4999E-02,-2.719817722E-02
-2.4994E-02,-2.772222507E-02
-2.4989E-02,-2.922384536E-02
-2.4984E-02,-2.804687202E-02
-2.4979E-02,-2.664553249E-02
-2.4974E-02,-2.635616291E-02
-2.4969E-02,-2.837570941E-02
-2.4964E-02,-2.775010002E-02
-2.4959E-02,-3.000811946E-02
-2.4954E-02,-3.031930149E-02
-2.4949E-02,-2.731390083E-02
-2.4944E-02,-2.670120418E-02
-2.4939E-02,-2.734102619E-02
-2.4934E-02,-2.757509029E-02
-2.4929E-02,-2.651999652E-02
-2.4924E-02,-2.466124332E-02
-2.4919E-02,-2.531318748E-02
-2.4914E-02,-2.671476829E-02
-2.4909E-02,-2.639454353E-02
-2.4904E-02,-2.711550510E-02
-2.4899E-02,-2.796616256E-02
-2.4894E-02,-2.392062080E-02
-2.4889E-02,-1.271703231E-02
-2.4884E-02,-1.540968215E-02
-2.4879E-02,-1.653347099E-02
-2.4874E-02,-2.023142040E-02
-2.4869E-02,-2.329472625E-02
-2.4864E-02,-1.978529727E-02
-2.4859E-02,-1.911121738E-02
-2.4854E-02,-1.935798442E-02
-2.4849E-02,-2.804225814E-02
-2.4844E-02,-3.042230308E-02
-2.4839E-02,-2.731838596E-02
-2.4834E-02,-2.641482532E-02
-2.4829E-02,-2.681927288E-02
-2.4824E-02,-2.792544639E-02
-2.4819E-02,-2.696450222E-02
-2.4814E-02,-2.829541385E-02
-2.4809E-02,-2.998330104E-02
-2.4804E-02,-2.950197303E-02
-2.4799E-02,-2.981240165E-02
-2.4794E-02,-3.041982448E-02
-2.4789E-02,-2.880181587E-02
-2.4784E-02,-2.686673534E-02
-2.4779E-02,-2.754852569E-02
-2.4774E-02,-2.784632862E-02
-2.4769E-02,-2.631021106E-02
-2.4764E-02,-2.495532405E-02
-2.4759E-02,-2.538736236E-02
-2.4754E-02,-2.598921382E-02
-2.4749E-02,-2.551872909E-02
-2.4744E-02,-2.870038021E-02
-2.4739E-02,-2.943759239E-02
-2.4734E-02,-2.681575000E-02
-2.4729E-02,-2.558635795E-02
-2.4724E-02,-2.788169277E-02
-2.4719E-02,-2.865627754E-02
-2.4714E-02,-2.767366970E-02
-2.4709E-02,-2.935223854E-02
-2.4704E-02,-3.087702930E-02
-2.4699E-02,-2.898775089E-02
-2.4694E-02,-2.862685382E-02
-2.4689E-02,-3.043051898E-02
-2.4684E-02,-3.079172695E-02
-2.4679E-02,-2.910053051E-02
-2.4674E-02,-2.755161941E-02
-2.4669E-02,-2.939559257E-02
-2.4664E-02,-2.926416099E-02
-2.4659E-02,-2.663652599E-02
-2.4654E-02,-2.687560356E-02
-2.4649E-02,-2.736395061E-02
-2.4644E-02,-2.786016357E-02
-2.4639E-02,-2.674568355E-02
-2.4634E-02,-2.907789123E-02
-2.4629E-02,-2.953199470E-02
-2.4624E-02,-2.708949649E-02
-2.4619E-02,-2.842327201E-02
-2.4614E-02,-3.032028472E-02
-2.4609E-02,-3.038309276E-02
-2.4604E-02,-2.820648086E-02
-2.4599E-02,-2.740093601E-02
-2.4594E-02,-2.715853965E-02
-2.4589E-02,-2.573240077E-02
-2.4584E-02,-2.538882911E-02
-2.4579E-02,-2.625649822E-02
-2.4574E-02,-2.668196762E-02
-2.4569E-02,-2.551786983E-02
-2.4564E-02,-2.868075073E-02
-2.4559E-02,-2.966106689E-02
-2.4554E-02,-2.901829422E-02
-2.4549E-02,-2.830541885E-02
-2.4544E-02,-2.780657947E-02
-2.4539E-02,-2.778091896E-02
-2.4534E-02,-2.610746849E-02
-2.4529E-02,-2.706253803E-02
-2.4524E-02,-2.739576614E-02
-2.4519E-02,-2.674964511E-02
-2.4514E-02,-2.568990219E-02
-2.4509E-02,-2.732051933E-02
-2.4504E-02,-2.840793407E-02
-2.4498E-02,-2.729232681E-02
-2.4493E-02,-2.974129474E-02
-2.4488E-02,-3.171720874E-02
-2.4483E-02,-3.002246368E-02
-2.4478E-02,-2.732764900E-02
-2.4473E-02,-2.696114242E-02
-2.4468E-02,-2.791457164E-02
-2.4463E-02,-2.861366260E-02
-2.4458E-02,-2.770092475E-02
-2.4453E-02,-2.745441711E-02
-2.4448E-02,-2.539991653E-02
-2.4443E-02,-2.604329002E-02
-2.4438E-02,-2.628825557E-02
-2.4433E-02,-2.614909256E-02
-2.4428E-02,-2.425974739E-02
-2.4423E-02,-2.325367725E-02
-2.4418E-02,-2.597383106E-02
-2.4413E-02,-2.643251789E-02
-2.4408E-02,-2.752732074E-02
-2.4403E-02,-3.640026844E-02
-2.4398E-02,-4.476167572E-02
-2.4393E-02,-4.861850536E-02
-2.4388E-02,-4.757923973E-02
-2.4383E-02,-4.430077922E-02
-2.4378E-02,-3.657332313E-02
-2.4373E-02,-2.723078620E-02
-2.4368E-02,-2.265797889E-02
-2.4363E-02,-2.203456485E-02
-2.4358E-02,-2.567391193E-02
-2.4353E-02,-2.795034206E-02
-2.4348E-02,-3.115487659E-02
-2.4343E-02,-3.403157127E-02
-2.4338E-02,-3.303818786E-02
-2.4333E-02,-3.204169166E-02
-2.4328E-02,-2.823080719E-02
