[s],CH1[V]
-2.4999E-02,-2.799733710E-02
-2.4994E-02,-2.578684783E-02
-2.4989E-02,-2.955455756E-02
-2.4984E-02,-3.188595748E-02
-2.4979E-02,-3.169555640E-02
-2.4974E-02,-3.163395476E-02
-2.4969E-02,-3.161645103E-02
-2.4964E-02,-3.123001456E-02
-2.4959E-02,-3.004656386E-02
-2.4954E-02,-2.864950728E-02
-2.4949E-02,-2.785340285E-02
-2.4944E-02,-2.886777854E-02
-2.4939E-02,-3.070272994E-02
-2.4934E-02,-3.125966620E-02
-2.4929E-02,-2.963731360E-02
-2.4924E-02,-2.769151664E-02
-2.4919E-02,-2.890828109E-02
-2.4914E-02,-2.965936446E-02
-2.4909E-02,-2.933414817E-02
-2.4904E-02,-2.859135604E-02
-2.4899E-02,-2.835847640E-02
-2.4894E-02,-2.866484046E-02
-2.4889E-02,-2.691348052E-02
-2.4884E-02,-2.644952750E-02
-2.4879E-02,-2.728222442E-02
-2.4874E-02,-2.686178184E-02
-2.4869E-02,-2.559173369E-02
-2.4864E-02,-2.640190673E-02
-2.4859E-02,-2.619867301E-02
-2.4854E-02,-2.657623839E-02
-2.4849E-02,-2.768041205E-02
-2.4844E-02,-2.817248702E-02
-2.4839E-02,-2.791310287E-02
-2.4834E-02,-2.769690299E-02
-2.4829E-02,-2.846691108E-02
-2.4824E-02,-2.870830321E-02
-2.4819E-02,-2.781462455E-02
-2.4814E-02,-2.724918723E-02
-2.4809E-02,-2.785226989E-02
-2.4804E-02,-2.834356284E-02
-2.4799E-02,-2.831345534E-02
-2.4794E-02,-2.764293265E-02
-2.4789E-02,-2.687732100E-02
-2.4784E-02,-2.624814391E-02
-2.4779E-02,-2.528165030E-02
-2.4774E-02,-2.775668311E-02
-2.4769E-02,-2.805339408E-02
-2.4764E-02,-2.820859885E-02
-2.4759E-02,-2.929902053E-02
-2.4754E-02,-2.980149817E-02
-2.4749E-02,-2.793095756E-02
-2.4744E-02,-2.545606780E-02
-2.4739E-02,-2.693859267E-02
-2.4734E-02,-2.613435721E-02
-2.4729E-02,-2.599729896E-02
-2.4724E-02,-2.759331107E-02
-2.4719E-02,-2.878066421E-02
-2.4714E-02,-2.839396262E-02
-2.4709E-02,-2.626778769E-02
-2.4704E-02,-2.889642310E-02
-2.4699E-02,-2.951181388E-02
-2.4694E-02,-2.889673018E-02
-2.4689E-02,-2.810307097E-02
-2.4684E-02,-2.741859603E-02
-2.4679E-02,-2.699346900E-02
-2.4674E-02,-2.333812881E-02
-2.4669E-02,-2.368227744E-02
-2.4664E-02,-2.573115897E-02
-2.4659E-02,-2.813763595E-02
-2.4654E-02,-3.045122313E-02
-2.4649E-02,-2.884970450E-02
-2.4644E-02,-2.612306380E-02
-2.4639E-02,-2.245492339E-02
-2.4634E-02,-1.922835135E-02
-2.4629E-02,-1.277675033E-02
-2.4624E-02,-7.181207418E-03
-2.4619E-02,-7.262796164E-03
-2.4614E-02,-1.432520652E-02
-2.4609E-02,-2.445032859E-02
-2.4604E-02,-2.914297271E-02
-2.4599E-02,-3.310251212E-02
-2.4594E-02,-3.254472518E-02
-2.4589E-02,-2.986256957E-02
-2.4584E-02,-2.494993758E-02
-2.4579E-02,-1.972987342E-02
-2.4574E-02,-1.792954421E-02
-2.4569E-02,-2.116853118E-02
-2.4564E-02,-2.775074363E-02
-2.4559E-02,-3.136446166E-02
-2.4554E-02,-3.461411643E-02
-2.4549E-02,-3.446725631E-02
-2.4544E-02,-3.206209922E-02
-2.4539E-02,-2.886181998E-02
-2.4534E-02,-2.507588935E-02
-2.4529E-02,-2.405644584E-02
-2.4524E-02,-2.522470832E-02
-2.4519E-02,-2.578299880E-02
-2.4514E-02,-2.880131316E-02
-2.4509E-02,-3.014848304E-02
-2.4504E-02,-2.954125571E-02
-2.4498E-02,-2.776838660E-02
-2.4493E-02,-2.746618629E-02
-2.4488E-02,-2.794953322E-02
-2.4483E-02,-2.813125587E-02
-2.4478E-02,-2.637613463E-02
-2.4473E-02,-2.603913665E-02
-2.4468E-02,-3.013617492E-02
-2.4463E-02,-3.064319587E-02
-2.4458E-02,-2.960262084E-02
-2.4453E-02,-3.018011642E-02
-2.4448E-02,-3.061704230E-02
-2.4443E-02,-2.914371276E-02
-2.4438E-02,-2.871130347E-02
-2.4433E-02,-2.836388373E-02
-2.4428E-02,-2.766753173E-02
-2.4423E-02,-2.898560500E-02
-2.4418E-02,-2.927637076E-02
-2.4413E-02,-2.857494712E-02
-2.4408E-02,-2.883581710E-02
-2.4403E-02,-2.947042441E-02
-2.4398E-02,-2.808253074E-02
-2.4393E-02,-2.503550887E-02
-2.4388E-02,-2.246533179E-02
-2.4383E-02,-2.417319274E-02
-2.4378E-02,-2.586948943E-02
-2.4373E-02,-2.765967917E-02
-2.4368E-02,-2.944877982E-02
-2.4363E-02,-2.828504539E-02
-2.4358E-02,-2.719565558E-02
-2.4353E-02,-2.693101859E-02
-2.4348E-02,-2.771332526E-02
-2.4343E-02,-2.481281638E-02
-2.4338E-02,-2.465943885E-02
-2.4333E-02,-2.753255820E-02
-2.4328E-02,-2.794255042E-02
-2.4323E-02,-2.822598052E-02
-2.4318E-02,-2.720704055E-02
-2.4313E-02,-2.770671439E-02
-2.4308E-02,-2.667353606E-02
-2.4303E-02,-2.675532508E-02
-2.4298E-02,-2.734402251E-02
-2.4293E-02,-2.643143439E-02
-2.4288E-02,-2.522372985E-02
-2.4283E-02,-2.478415465E-02
-2.4278E-02,-2.652584434E-02
-2.4273E-02,-2.777145553E-02
-2.4268E-02,-2.708771300E-02
-2.4263E-02,-2.519605041E-02
-2.4258E-02,-2.472459769E-02
-2.4253E-02,-2.334916091E-02
-2.4248E-02,-2.347208190E-02
-2.4243E-02,-2.612678695E-02
-2.4238E-02,-2.594733977E-02
-2.4233E-02,-2.808108115E-02
-2.4228E-02,-3.112027717E-02
-2.4223E-02,-3.134757781E-02
-2.4218E-02,-2.960988212E-02
-2.4213E-02,-2.611825156E-02
-2.4208E-02,-2.838756156E-02
-2.4203E-02,-2.864365554E-02
-2.4198E-02,-2.654317260E-02
-2.4193E-02,-2.603117728E-02
-2.4188E-02,-2.522995353E-02
-2.4183E-02,-2.674133849E-02
-2.4178E-02,-2.601147628E-02
-2.4173E-02,-2.629280829E-02
-2.4168E-02,-2.713574576E-02
-2.4163E-02,-2.738630652E-02
-2.4158E-02,-2.731808257E-02
-2.4153E-02,-2.689813209E-02
-2.4148E-02,-2.805244422E-02
-2.4143E-02,-2.829299521E-02
-2.4138E-02,-2.782897162E-02
-2.4133E-02,-2.803193450E-02
-2.4128E-02,-2.641361785E-02
-2.4123E-02,-2.596579146E-02
-2.4118E-02,-2.437659812E-02
-2.4113E-02,-2.636062598E-02
-2.4108E-02,-2.507493377E-02
-2.4103E-02,-2.571955848E-02
-2.4098E-02,-2.687497306E-02
-2.4093E-02,-2.717302299E-02
-2.4088E-02,-2.485299277E-02
-2.4083E-02,-2.531207633E-02
-2.4078E-02,-2.699566054E-02
-2.4073E-02,-2.591302276E-02
-2.4068E-02,-2.783222175E-02
-2.4063E-02,-3.074800467E-02
-2.4058E-02,-3.008242583E-02
-2.4053E-02,-3.112137771E-02
-2.4048E-02,-3.194417548E-02
-2.4043E-02,-2.832260299E-02
-2.4038E-02,-2.654946303E-02
-2.4033E-02,-2.683057570E-02
-2.4028E-02,-2.897689986E-02
-2.4023E-02,-2.872687125E-02
-2.4018E-02,-2.895536017E-02
