[s],CH1[V]
-2.4999E-02,-3.228780150E-02
-2.4994E-02,-3.436698318E-02
-2.4989E-02,-3.592956710E-02
-2.4984E-02,-3.501440406E-02
-2.4979E-02,-3.225346541E-02
-2.4974E-02,-3.174891639E-02
-2.4969E-02,-3.165741706E-02
-2.4964E-02,-3.263420844E-02
-2.4959E-02,-3.361212325E-02
-2.4954E-02,-3.352875876E-02
-2.4949E-02,-3.350231910E-02
-2.4944E-02,-3.231410384E-02
-2.4939E-02,-3.093305373E-02
-2.4934E-02,-3.206687903E-02
-2.4929E-02,-3.263099456E-02
-2.4924E-02,-3.366034293E-02
-2.4919E-02,-3.433949447E-02
-2.4914E-02,-3.457648444E-02
-2.4909E-02,-3.368258834E-02
-2.4904E-02,-3.340107512E-02
-2.4899E-02,-3.301844573E-02
-2.4894E-02,-3.245039916E-02
-2.4889E-02,-3.271458983E-02
-2.4884E-02,-3.320277572E-02
-2.4879E-02,-3.196159720E-02
-2.4874E-02,-2.998484397E-02
-2.4869E-02,-2.998147750E-02
-2.4864E-02,-3.030429816E-02
-2.4859E-02,-3.156295562E-02
-2.4854E-02,-3.536976218E-02
-2.4849E-02,-3.913351226E-02
-2.4844E-02,-4.329086661E-02
-2.4839E-02,-4.150702071E-02
-2.4834E-02,-3.927612090E-02
-2.4829E-02,-3.484774947E-02
-2.4824E-02,-3.258515143E-02
-2.4819E-02,-3.246595359E-02
-2.4814E-02,-3.180071235E-02
-2.4809E-02,-3.136315322E-02
-2.4804E-02,-3.182306266E-02
-2.4799E-02,-3.457437873E-02
-2.4794E-02,-3.657490516E-02
-2.4789E-02,-3.638486648E-02
-2.4784E-02,-3.816587996E-02
-2.4779E-02,-3.587119269E-02
-2.4774E-02,-3.369561172E-02
-2.4769E-02,-3.147718596E-02
-2.4764E-02,-3.151163077E-02
-2.4759E-02,-3.211767364E-02
-2.4754E-02,-3.285566115E-02
-2.4749E-02,-3.522711158E-02
-2.4744E-02,-3.760399985E-02
-2.4739E-02,-3.816159415E-02
-2.4734E-02,-3.376031280E-02
-2.4729E-02,-2.971843505E-02
-2.4724E-02,-3.134171653E-02
-2.4719E-02,-3.106532836E-02
-2.4714E-02,-3.015914893E-02
-2.4709E-02,-3.153213859E-02
-2.4704E-02,-3.312611175E-02
-2.4699E-02,-3.280014968E-02
-2.4694E-02,-3.162265754E-02
-2.4689E-02,-3.244835830E-02
-2.4684E-02,-3.035108924E-02
-2.4679E-02,-3.231617904E-02
-2.4674E-02,-3.343547988E-02
-2.4669E-02,-3.327426124E-02
-2.4664E-02,-3.365120482E-02
-2.4659E-02,-3.401794791E-02
-2.4654E-02,-3.519120383E-02
-2.4649E-02,-3.376546836E-02
-2.4644E-02,-3.410826087E-02
-2.4639E-02,-3.467454505E-02
-2.4634E-02,-3.352287841E-02
-2.4629E-02,-3.130207610E-02
-2.4624E-02,-2.907121825E-02
-2.4619E-02,-2.808338523E-02
-2.4614E-02,-2.933023429E-02
-2.4609E-02,-3.209662414E-02
-2.4604E-02,-3.357822394E-02
-2.4599E-02,-3.419092155E-02
-2.4594E-02,-3.154237723E-02
-2.4589E-02,-3.024015594E-02
-2.4584E-02,-3.261741042E-02
-2.4579E-02,-3.392051482E-02
-2.4574E-02,-3.402959418E-02
-2.4569E-02,-3.358000350E-02
-2.4564E-02,-3.540426230E-02
-2.4559E-02,-3.512738395E-02
-2.4554E-02,-3.389412856E-02
-2.4549E-02,-3.390916800E-02
-2.4544E-02,-3.368880439E-02
-2.4539E-02,-3.367287993E-02
-2.4534E-02,-3.436832786E-02
-2.4529E-02,-3.402136207E-02
-2.4524E-02,-3.348397994E-02
-2.4519E-02,-3.181241584E-02
-2.4514E-02,-3.197678161E-02
-2.4509E-02,-3.252575278E-02
-2.4504E-02,-3.170376754E-02
-2.4498E-02,-3.414208579E-02
-2.4493E-02,-3.488759971E-02
-2.4488E-02,-3.488548446E-02
-2.4483E-02,-3.280612350E-02
-2.4478E-02,-3.250372481E-02
-2.4473E-02,-3.360789847E-02
-2.4468E-02,-3.518953490E-02
-2.4463E-02,-3.777639174E-02
-2.4458E-02,-3.854479575E-02
-2.4453E-02,-3.437213111E-02
-2.4448E-02,-3.160743690E-02
-2.4443E-02,-3.070262313E-02
-2.4438E-02,-2.912076354E-02
