[s],CH1[V]
-2.4999E-02,-2.830298018E-02
-2.4994E-02,-2.963108611E-02
-2.4989E-02,-3.048161674E-02
-2.4984E-02,-2.988136649E-02
-2.4979E-02,-2.933140159E-02
-2.4974E-02,-2.825757003E-02
-2.4969E-02,-2.794220519E-02
-2.4964E-02,-2.974696517E-02
-2.4959E-02,-2.872978568E-02
-2.4954E-02,-2.946551490E-02
-2.4949E-02,-3.248323035E-02
-2.4944E-02,-3.323316741E-02
-2.4939E-02,-3.122522902E-02
-2.4934E-02,-3.067574096E-02
-2.4929E-02,-3.163127875E-02
-2.4924E-02,-3.003891921E-02
-2.4919E-02,-2.785982680E-02
-2.4914E-02,-2.904197097E-02
-2.4909E-02,-2.919131827E-02
-2.4904E-02,-2.909582686E-02
-2.4899E-02,-2.774128127E-02
-2.4894E-02,-2.900603843E-02
-2.4889E-02,-3.048799682E-02
-2.4884E-02,-2.856376433E-02
-2.4879E-02,-2.868584609E-02
-2.4874E-02,-2.900190139E-02
-2.4869E-02,-3.037612128E-02
-2.4864E-02,-3.021869063E-02
-2.4859E-02,-2.947233176E-02
-2.4854E-02,-2.725285506E-02
-2.4849E-02,-2.644277358E-02
-2.4844E-02,-2.642477965E-02
-2.4839E-02,-2.860543990E-02
-2.4834E-02,-2.775517631E-02
-2.4829E-02,-2.722959304E-02
-2.4824E-02,-2.937363791E-02
-2.4819E-02,-3.084493613E-02
-2.4814E-02,-3.178370261E-02
-2.4809E-02,-3.072020698E-02
-2.4804E-02,-2.959841704E-02
-2.4799E-02,-2.907239318E-02
-2.4794E-02,-2.849274230E-02
-2.4789E-02,-2.840177131E-02
-2.4784E-02,-2.832432723E-02
-2.4779E-02,-2.742375350E-02
-2.4774E-02,-2.857776618E-02
-2.4769E-02,-3.157635474E-02
-2.4764E-02,-3.169206786E-02
-2.4759E-02,-3.038904166E-02
-2.4754E-02,-2.829301810E-02
-2.4749E-02,-3.015467238E-02
-2.4744E-02,-2.941855216E-02
-2.4739E-02,-2.705224967E-02
-2.4734E-02,-2.940900207E-02
-2.4729E-02,-2.918764853E-02
-2.4724E-02,-2.785724998E-02
-2.4719E-02,-2.635222411E-02
-2.4714E-02,-2.655389953E-02
-2.4709E-02,-2.756142020E-02
-2.4704E-02,-2.754561591E-02
-2.4699E-02,-2.853007293E-02
-2.4694E-02,-2.924760413E-02
-2.4689E-02,-2.959364295E-02
-2.4684E-02,-2.731734443E-02
-2.4679E-02,-2.770406890E-02
-2.4674E-02,-2.701927352E-02
-2.4669E-02,-2.448220229E-02
-2.4664E-02,-2.724424911E-02
-2.4659E-02,-2.918336654E-02
-2.4654E-02,-2.899421668E-02
-2.4649E-02,-2.795569205E-02
-2.4644E-02,-2.943861175E-02
-2.4639E-02,-2.924278998E-02
-2.4634E-02,-2.939770675E-02
-2.4629E-02,-2.995325637E-02
-2.4624E-02,-2.921582007E-02
-2.4619E-02,-2.921333289E-02
-2.4614E-02,-3.077792716E-02
-2.4609E-02,-3.311135459E-02
-2.4604E-02,-3.174540305E-02
-2.4599E-02,-2.959203315E-02
-2.4594E-02,-3.003169417E-02
-2.4589E-02,-3.019634032E-02
-2.4584E-02,-3.068024802E-02
-2.4579E-02,-2.884153152E-02
-2.4574E-02,-2.837379622E-02
-2.4569E-02,-2.958220840E-02
-2.4564E-02,-3.090836883E-02
-2.4559E-02,-3.141126990E-02
-2.4554E-02,-3.160592818E-02
-2.4549E-02,-3.379574561E-02
-2.4544E-02,-3.538628936E-02
-2.4539E-02,-3.773401999E-02
-2.4534E-02,-3.482348037E-02
-2.4529E-02,-3.041638350E-02
-2.4524E-02,-2.720959067E-02
-2.4519E-02,-2.887946868E-02
-2.4514E-02,-2.927675986E-02
-2.4509E-02,-2.892571807E-02
-2.4504E-02,-2.936263442E-02
-2.4498E-02,-3.289268279E-02
-2.4493E-02,-3.351539969E-02
-2.4488E-02,-3.339532065E-02
-2.4483E-02,-3.275507331E-02
-2.4478E-02,-3.058248687E-02
-2.4473E-02,-2.881842589E-02
-2.4468E-02,-2.859586883E-02
-2.4463E-02,-3.019746947E-02
-2.4458E-02,-3.060749984E-02
-2.4453E-02,-3.025792289E-02
-2.4448E-02,-3.145255637E-02
-2.4443E-02,-3.416630912E-02
-2.4438E-02,-3.401790977E-02
-2.4433E-02,-3.210283828E-02
-2.4428E-02,-2.997085738E-02
-2.4423E-02,-2.916360450E-02
-2.4418E-02,-2.699314475E-02
-2.4413E-02,-2.701822448E-02
-2.4408E-02,-2.855622649E-02
-2.4403E-02,-3.112598205E-02
-2.4398E-02,-3.009927726E-02
-2.4393E-02,-3.009265304E-02
-2.4388E-02,-3.144638610E-02
-2.4383E-02,-3.145579314E-02
-2.4378E-02,-3.147716880E-02
-2.4373E-02,-3.016629577E-02
-2.4368E-02,-2.888274550E-02
-2.4363E-02,-2.757912230E-02
-2.4358E-02,-2.842432380E-02
-2.4353E-02,-3.166274047E-02
-2.4348E-02,-3.430666327E-02
-2.4343E-02,-3.395465446E-02
-2.4338E-02,-3.325236297E-02
-2.4333E-02,-3.130897498E-02
-2.4328E-02,-3.013091445E-02
-2.4323E-02,-3.298500609E-02
-2.4318E-02,-3.370889449E-02
-2.4313E-02,-3.300349784E-02
-2.4308E-02,-3.181784415E-02
-2.4303E-02,-3.130791259E-02
-2.4298E-02,-3.203353858E-02
-2.4293E-02,-3.054763389E-02
-2.4288E-02,-3.101774001E-02
-2.4283E-02,-3.098902488E-02
-2.4278E-02,-2.954737258E-02
-2.4273E-02,-3.065488029E-02
-2.4268E-02,-3.307240081E-02
-2.4263E-02,-3.251191688E-02
-2.4258E-02,-3.071270347E-02
-2.4253E-02,-2.982924247E-02
-2.4248E-02,-3.062551284E-02
-2.4243E-02,-3.031718040E-02
-2.4238E-02,-2.864562774E-02
-2.4233E-02,-2.799505973E-02
-2.4228E-02,-2.841216254E-02
-2.4223E-02,-3.053868842E-02
-2.4218E-02,-3.157460952E-02
-2.4213E-02,-3.023504806E-02
-2.4208E-02,-3.015044951E-02
-2.4203E-02,-2.967732215E-02
-2.4198E-02,-3.109472442E-02
-2.4193E-02,-3.227543044E-02
-2.4188E-02,-3.089976859E-02
-2.4183E-02,-2.903016448E-02
-2.4178E-02,-3.078993392E-02
-2.4173E-02,-3.159883857E-02
-2.4168E-02,-2.919029021E-02
-2.4163E-02,-2.854146552E-02
-2.4158E-02,-2.739005637E-02
-2.4153E-02,-2.818276954E-02
